Word,Frequency
0030,350
01,165
021,343
0410,342
10,17378
100,6455
1000,754
100th,34
107,431
108,377
10d,690
11,2690
110,487
112,215
115bbj,337
117,394
11am,83
12,9807
1250,288
13,3133
130,1157
13000,74
137,355
14,3635
1400,351
145,372
14th,540
15,6472
150,1815
152,345
154,10
155,390
16,2679
162,350
163,360
165,380
166,357
16th,461
17,3311
1740,1
18,3488
182nd,61
184,711
185,372
18th,592
19,2039
193,368
1933,343
194ba,337
195,413
1950s,358
1952,365
1972,378
1976,349
1978,354
1980s,372
199,361
1991,826
1993,22
1995,395
1999,122
1b,183
1km,188
1q,1
1st,788
20,7864
200,3206
2000,458
2001,345
2003,728
2004,536
2006,1396
2010s,689
2011,129
2012,957
2013,347
2014,2865
2015,1195
2016,2027
2017,2221
2018,1528
2019,4932
2020,5062
2021,5427
2021agnikul,327
2022,7314
2023,13022
2024,20198
2025,8566
2026,760
2028,378
2030,2622
2031,182
2036,348
2045,7
2047,1725
2070,98
20th,1267
21,1961
217,295
21st,1296
22,2172
225,508
22nd,366
23,2048
230,412
24,3153
240,524
24th,368
24x7,192
25,7605
251,17
26,1844
26th,746
27,1184
278,344
28,3143
280,587
28th,683
29,863
2g,1032
2nd,117
30,7643
300,3121
3025,343
306,240
30th,679
31,5835
31st,571
32,1038
325,366
33,461
34,1236
340,370
35,2322
350,522
3591,343
360,766
37,703
38,968
39,648
39th,346
3b,1029
3d,461
40,3959
400,2460
41,1255
42,1992
4200,158
43,778
45,2001
450,433
45th,66
46,1884
460,75
470,418
48,576
483,7
49,538
4g,1780
4th,406
50,11167
500,4519
5000,259
51,206
518,343
54,575
543,5
549,3
55,729
56,714
57,455
58,139
59,330
5g,9379
5pm,76
5th,86
60,2310
600,1085
620,17
63,1235
631,188
645,356
65,929
66,478
67th,343
69,569
70,2728
700,900
71,148
72nd,343
74,475
75,1446
756,343
76,480
763,343
77,219
790,354
792,344
7th,1200
80,1761
800,658
80c,1898
80ccd,746
80d,259
81,89
813,9
8200,342
8257,342
83,118
846,343
86,444
87,277
870,341
90,1022
911,191
92,104
920,205
93,529
950,381
960,16
98,452
99,456
aag,343
aai,364
aaj,75
aargauer,1
aayog,936
abating,5
abetting,343
abetween,343
abhishek,808
ability,1788
able,4854
abode,183
abolish,31
abroad,885
absence,2075
absolute,118
absolutely,553
abundant,381
ac,183
accelerate,831
accelerated,869
accelerating,1045
acceleration,586
accentuate,194
accenture,500
accept,495
acceptance,841
accepted,572
accepting,784
access,8967
accessed,430
accessibility,2343
accessible,2032
accessing,1071
accidental,354
accolade,306
accommodate,336
accommodation,1051
accompanied,1370
accomplished,214
accorded,347
according,20416
accordingly,576
account,14378
accountability,99
accountable,434
accountancy,149
accountant,573
accounted,621
accounting,1301
accra,3
accretion,394
accrued,756
accumulated,950
accumulating,273
accumulation,215
accurate,753
accurately,156
accuse,375
accused,1049
accuses,369
acheson,165
achieve,2513
achieved,2223
achievement,1366
achieving,3289
acknowledge,210
acknowledged,2129
acknowledgement,103
acknowledges,201
acquire,491
acquired,914
acquirer,18
acquiring,451
acquisition,2856
acre,2129
acronym,351
act,6134
acted,424
action,7078
active,1443
actively,1703
activist,1697
activity,6298
actor,789
actual,1180
actually,1860
actuarial,343
ad,341
adani,10358
adaptable,289
adaptation,265
adaption,343
adb,144
add,3688
added,9872
adding,4262
addition,3880
additional,9366
additionally,5659
address,7930
addressing,3784
adequate,532
adhere,475
adimalathura,343
aditya,1250
adjust,694
adjusted,1458
adjustment,1139
administration,3251
administrative,346
admired,380
admitted,759
adopt,715
adopted,950
adoption,3853
adorned,161
adv,28
advance,1062
advanced,3222
advancement,1494
advancing,1052
advantage,2760
advantageous,154
adventure,259
adverse,847
advertised,360
advertisement,84
advisable,77
advised,1363
advisor,2391
advisory,1607
advocacy,108
advocate,1151
advocating,456
aegis,50
aera,345
aerospace,1080
affair,1872
affect,929
affected,1361
affecting,1200
affectionately,27
affiliate,767
affiliated,400
affirm,90
afford,1104
affordability,257
affordable,6407
aforesaid,368
africa,760
african,588
aftermath,60
afternoon,445
ag,807
age,4988
agency,7461
agenda,2375
agent,815
aggarwal,1437
aggregate,1402
aggregating,468
aggregator,431
aggressive,1256
aggressively,150
agm,444
agnibaan,1044
agnikul,3363
agnilet,343
ago,3502
agr,402
agra,114
agree,635
agreed,928
agreement,3143
agrees,679
agricultural,1683
agriculture,1815
agritech,1032
ahead,3374
ahmedabad,1634
ai,23817
aid,496
aide,353
aided,528
aiding,404
ailing,25
aim,8024
aimed,3270
aiming,1633
air,16132
airasia,730
airbnb,366
airbus,636
aircraft,4266
aired,225
airfare,112
airline,17307
airlinesto,321
airport,11097
airspace,380
airstrikes,13
airtel,2744
airwave,363
airway,3530
aix,2068
aixl,343
ajay,1891
ajit,222
ajmera,1033
akhilesh,89
akin,131
akkai,343
akm,343
akshay,1154
akshya,220
al,183
alameda,1721
alappuzha,343
albeit,394
alcazar,112
alcon,47
alert,201
algorithm,436
alibaba,2954
alibag,74
alienation,220
aligarh,343
align,1133
aligned,414
aligning,303
aligns,1477
alike,585
allays,347
allegation,2061
alleged,1401
alleges,38
alleviate,685
alleviated,121
alliance,1057
allocate,608
allocated,890
allocation,2363
allotment,1317
allow,2416
allowance,3064
allowed,2856
allowing,3167
allows,3422
allure,541
ally,884
aloke,346
alongside,1788
alquity,2
altcoins,561
altering,2
alternate,835
alternative,4796
alumnus,434
amand,156
amazon,3486
ambala,343
ambani,3352
ambassador,735
amber,229
ambiguity,512
ambiguous,350
ambit,406
ambition,1785
ambitious,1957
ambulance,362
amended,838
amendment,2319
amenity,8931
america,1523
american,3853
amfi,393
amid,4177
amidst,1934
amit,515
amitabh,1079
ammonia,697
amod,686
amounted,122
amounting,574
amphitheatre,296
ample,669
amplified,407
amplify,378
amrit,288
amritsar,353
amruta,54
anaemia,348
analysed,590
analysis,2813
analyst,6905
analytics,1061
analyzing,594
anantha,596
ananya,377
anarock,56
anchor,605
andersen,401
andhra,2591
andrei,2
andrew,409
angeles,54
anil,621
anjali,351
ankur,1920
anna,733
annals,357
anniversary,131
announce,925
announced,9929
announcement,2841
announcing,376
annual,5771
annually,3334
annum,1948
anonymity,634
ansys,1
ante,346
antenna,343
anticipates,341
anticipating,146
anticipation,749
anurag,1048
aoc,1372
apace,345
apart,1519
apartment,1844
apeejay,108
aperture,687
apex,665
apiece,432
apollo,162
apologise,354
apologized,27
app,1216
apparent,449
appeal,1657
appear,497
appeared,642
appearing,306
appears,949
appellate,550
appetite,352
applaud,80
apple,3730
applicability,345
applicable,1350
applicant,806
application,4899
applied,932
applies,587
apply,2337
applying,737
appoint,261
appointed,1523
appointment,1683
appreciate,1090
appreciated,425
appreciation,912
apprehension,388
apprise,3
apprised,343
approach,7413
approached,816
appropriate,447
approval,1633
approved,3429
approximately,2521
apps,1391
april,7011
aquasub,343
arabian,285
arbitrage,734
archaic,225
architect,2076
architectural,1173
architecture,1369
area,12097
arena,670
arguably,227
argue,583
argued,964
argues,423
arguing,756
argument,478
arising,435
ark,165
arkam,1031
arm,1824
armed,627
armstrong,1858
arora,77
arpu,1089
arrangement,1267
array,2753
arrive,400
arrived,248
arriving,510
art,466
arterial,47
artha,719
article,3535
artificial,2871
artist,1282
artistic,501
asansol,346
ascent,383
asean,399
ashar,1910
ashish,1237
ashok,637
ashwini,2051
asia,4187
asian,2648
ask,440
asked,4932
asking,804
asks,84
aspect,4574
aspiration,1229
aspirational,514
aspire,195
aspiring,807
assam,1266
assault,38
assembled,205
asserted,880
asserting,390
asserts,254
assessment,2011
asset,13605
assignment,81
assist,660
assistance,1510
assistant,943
assisted,42
assisting,205
associate,1622
associated,1220
associating,349
association,4600
assumed,479
assurance,474
assured,4107
astronaut,345
astronomia,108
atc,368
athlete,360
atlantic,749
atmosphere,1151
attack,1834
attained,454
attempt,1423
attend,71
attended,1461
attendee,335
attending,334
attention,2851
attitude,394
attract,2283
attracted,1206
attracting,806
attractive,2620
attractiveness,44
attributed,1423
attrition,209
attukal,397
atul,139
auction,1695
audience,700
audio,3543
audit,491
audited,767
augmentation,86
augmented,365
august,5081
aur,75
aurangzeb,53
australia,1009
authentic,1205
authentication,625
author,596
authority,5066
authorize,4
automate,300
automated,304
automation,786
automobile,732
avaana,343
avail,401
availability,2512
available,9679
avalanche,318
avatar,222
avenue,788
average,5415
averaged,745
avert,359
averted,4
aviation,13717
aviv,12
avoid,3259
avoidance,88
avoided,403
avoiding,164
awaiting,536
awaits,356
award,5466
awarded,559
aware,795
awareness,1950
awas,165
awasthy,783
away,5135
axie,337
axis,2377
ay,1119
azerbaijan,112
b2b,415
b2c,87
backdrop,812
backed,2064
backend,355
background,861
backlog,114
bacteria,347
bad,423
badge,364
badly,1065
badminton,6582
baffle,343
bag,450
bagalkote,343
baggage,62
bagged,407
bahadurgarh,343
bailout,92
balance,5842
balanced,1365
balasore,343
balewadi,47
ball,524
ballistic,21
balloon,349
bam,686
ban,1781
band,3270
bandra,942
bandwagon,121
baner,47
banga,2432
bangalore,2772
bangladesh,1749
bank,42998
banker,850
banking,4124
bankrupt,377
bankruptcy,1672
banned,1223
banner,356
bansal,1462
bar,1055
barbecue,108
barbeque,188
barcelona,357
bare,234
barely,509
baripada,343
baroda,502
barr,348
barrel,741
barrier,3058
base,4173
based,8723
basic,4614
basically,876
basis,3461
basket,562
batch,588
battery,1155
battlefield,4
bavdhan,47
bawa,223
bcas,363
beach,403
beachside,346
beacon,1011
bear,663
bearish,379
beat,303
beating,75
beautiful,304
beauty,684
beaxy,342
bed,4097
bedroom,357
beer,405
began,1908
begin,2043
beginning,1976
behalf,1700
behavior,674
behnam,343
beijing,1408
beleaguered,398
belgium,103
belief,2162
believe,4173
believed,461
belonging,874
benchmark,3724
beneath,196
beneficial,1361
beneficiary,2356
benefit,22906
benefited,282
benefitwhen,343
bengal,1526
bengaluru,4518
bensignor,318
berkeley,350
berlin,66
bery,85
bespoke,47
best,8457
bet,891
better,7947
bettered,386
betting,261
beverage,757
beyonce,349
beyondnetzero,343
bezos,127
bhadrak,343
bhagat,1916
bhagyashree,27
bharat,4488
bharatagri,1045
bharath,345
bharatiya,53
bharatiyas,173
bharti,3012
bhashini,1716
bhasin,1377
bhatnagar,344
bhiwandi,262
bhk,1353
bhosale,37
bial,14
bias,889
biased,383
bid,1286
bidder,834
biden,1518
big,5956
bigbasket,40
bigger,1066
biggest,4915
bihar,983
bijitha,343
bikaner,350
bilaspur,359
bilateral,805
billion,25062
billionaire,3495
bima,106
binance,10085
biodegradable,348
biofuel,343
biomass,74
biometrics,41
bioreactors,343
biotechnology,358
bipartisan,387
birla,2667
biswas,360
bit,1416
bitcoin,9050
bittrex,342
