Word,Frequency
000,3
10,8733
100,2542
101,212
102,373
103,151
104,177
109,168
10keyless,1
10th,213
11,2880
111,88
112,128
115,132
118,158
119,78
11th,182
12,4312
120,332
122,68
124,58
126,95
127,54
128,57
129,54
12th,211
13,3892
133,42
134,64
134th,1
137,68
139,48
13th,128
14,2986
140,212
142,74
143,48
144,151
145,269
146,59
1461,6
14th,115
15,4285
150,548
151,65
152,32
155,60
156,48
158,40
15th,142
16,2829
160,138
161,55
163,104
164,65
165,105
166,51
16th,615
17,2555
170,103
174,50
175,105
176,41
177,37
178,66
17th,332
18,2865
185,61
186,37
187,46
189,50
18th,901
19,4475
190,102
191,78
193,26
194,58
195,37
196,75
1994,170
1999,330
19th,105
1st,288
20,5551
200,1116
2000,289
2014,2290
2015,995
2016,823
2018,977
2019,5521
2020,1795
2021,1690
2022,2622
2023,3430
2024,8320
2025,2242
2036,44
204,47
2047,207
205,40
208,48
209,30
20th,73
21,2466
211,30
215,69
216,41
217,61
21st,174
22,2381
222,37
226,44
229,125
22nd,61
23,2262
232,50
23rd,72
24,2858
246,16
24th,82
25,4312
250,374
255,37
25th,93
26,3919
261,40
264,20
26th,77
27,1953
27th,55
28,2181
284,30
28th,67
29,1876
29th,57
2nd,327
30,3642
300,679
30th,57
31,1506
315,52
319,16
31st,50
32,972
33,692
330,44
331,11
34,642
35,971
36,711
37,899
370,797
38,545
39,824
399,14
3d,59
3rd,743
3w,4
40,2350
400,977
41,680
42,1299
43,518
44,523
45,1129
46,1291
47,607
477,8
48,1703
49,641
4g,33
4th,271
50,2800
500,1109
5000,34
51,450
52,423
53,294
54,373
543,931
55,609
56,486
57,1108
58,328
59,274
5th,595
5w,4
60,1333
600,254
61,242
616,1
62,416
63,233
63rd,7
64,273
65,566
66,266
66th,5
67,433
68,280
69,226
6th,170
70,1652
700,222
72,602
73,171
74,264
75,876
76,212
77,240
78,161
787,21
79,185
7th,197
80,1142
800,194
8000,12
81,604
8140,2
82,123
83,188
84,140
85,281
87,97
89,431
8th,140
90,1943
9000,3
91,104
94,431
950,22
96,458
970,12
98,130
99,308
9th,102
aadmi,1599
aam,1575
aap,10617
aaye,18
aayush,4
ab,203
abbas,101
abdominal,69
abdul,465
abg,1
abhijit,357
abhishek,1573
ability,665
abishek,9
