Article Title,Article Link,Article Text,Article Summary,Article Image
"Cash row inquiry report: 'No cash was ever placed in that storeroom', claims Justice Yashwant Varma",https://timesofindia.indiatimes.com/india/cash-row-inquiry-report-no-cash-was-ever-placed-in-that-storeroom-claims-delhi-high-court-justice-yashwant-varma/articleshow/119363968.cms,"Delhi HC judge Yashwant Varma

NEW DELHI: Delhi high court judge Yashwant Varma has strongly denied allegations that a large sum of burnt currency was recovered from his official residence after a recent fire incident.In a lengthy letter to Delhi high court's chief justice, Devendra Kumar Upadhyaya, Justice Varma called the claims ""baseless"" and ""preposterous"", asserting that neither he nor his family had any connection to the alleged cash.""I state unequivocally that no cash was ever placed in that storeroom either by me or any of my family members and strongly denounce the suggestion that the alleged cash belonged to us,"" he wrote. ""The very idea or suggestion that this cash was kept or stored by us is totally preposterous.""Questioning the credibility of the allegations, he added, ""The suggestion that one would store cash in an open, freely accessible and commonly used storeroom near the staff quarters or in an outhouse verges on the incredible and incredulous.""Justice Varma said the accusations had severely damaged his reputation. ""In the life of a judge, nothing matters more than reputation and character. That has been severely tarnished and irreparably damaged,"" he stated.He dismissed any suggestion that he removed or handled currency at the site, saying, ""I categorically reject any suggestion that we removed currency from the storeroom. We were neither shown nor given any sacks of burnt currency. The limited debris recovered during the incident was confined to a particular section of the residence, and there was no evidence of any currency.""Drawing attention to his financial transparency, he mentioned that all his transactions were conducted through banks, UPI, and cards. He also pointed out that authorities found no cash when the site was returned to him, stating, ""When the site was handed back to us after the fire personnel and police concluded their operations, we saw no evidence of any currency.""Following the controversy, CJI Sanjiv Khanna has constituted a three-member inquiry committee to investigate the allegations.The panel includes Justice Sheel Nagu, Chief Justice of the Punjab and Haryana high court, Justice G S Sandhawalia, Chief Justice of the Himachal Pradesh high court, and Justice Anu Sivaraman of the Karnataka high court.CJI Khanna also directed that Justice Varma be relieved of judicial duties until the inquiry is completed.","Delhi high court judge Yashwant Varma has strongly denied allegations that a large sum of burnt currency was recovered from his official residence after a recent fire incident. In a lengthy letter to Delhi high court's chief justice, Devendra Kumar Upadhyaya, Justice Varma called the claims ""baseless"" and ""preposterous""","https://static.toiimg.com/thumb/msid-119364660,imgsize-19500,width-400,resizemode-4/119364660.jpg"
‘No evidence of forced entry’: Key details from Delhi HC CJ’s report on Justice Varma cash row,https://timesofindia.indiatimes.com/india/justice-yashwant-varma-no-evidence-of-forced-entry-delhi-hc-chief-justices-findings-on-judge-cash-row/articleshow/119362776.cms,"Key findings from the inquiry report



The fire broke out on the night of March 14 in a storeroom at Justice Varma’s official residence in Tughlak Crescent, New Delhi.

The fire was initially reported by Justice Varma’s personal secretary via a PCR call.

Firefighters allegedly found burnt cash at the scene, raising concerns about its origin.

No evidence of forced entry into the storeroom was found.

The storeroom was used to store household items and was accessible to domestic staff, gardeners, and CPWD workers.

Some debris and half-burnt items were removed from the storeroom on the morning of March 15.

Given the seriousness of the allegations, Delhi high court Chief Justice Upadhyay has recommended a deeper probe.

The Supreme Court has directed Justice Varma to preserve all data and messages on his phone and has sought security records from the past six months.

Justice Varma has been relieved of judicial duties pending the inquiry's outcome.

Justice Varma denies allegations, calls it a conspiracy



SC sets up three-member inquiry panel



Supreme Court press release full document:



The Supreme Court on Saturday released an inquiry report by Delhi high court chief justice Devendra Kumar Upadhyay regarding Justice Yashwant Varma's case, which involved the discovery of burnt currency notes by firefighters at his official residence.A video shared by Delhi Police Commissioner Sanjay Arora with Chief Justice of India Sanjiv Khanna and Delhi high court chief justice Upadhyay purportedly shows the burnt cash, adding to the scrutiny.According to the report, on March 15, workers cleared some debris and partially burnt items from the storeroom. Subsequently, the Supreme Court instructed Justice Varma to maintain all phone data and communications. Additionally, the court requested records of security staff deployed at his residence over the previous six months. Justice Varma has been temporarily removed from his judicial responsibilities whilst the investigation continues.Also read: SC uploads video of burnt currency given by police, HC CJ suggests deeper probe; judge Yashwant Varma cries conspiracy Justice Varma has strongly denied any wrongdoing, calling the allegations an attempt to malign him. In his response to the inquiry panel, he stated that neither he nor his family had any connection to the cash allegedly found at the site.“My wife and I were not in Delhi at the time of the fire. The storeroom is a common area used by staff and is not part of my main residence. The claim that we kept cash there is absurd,” he said.Also read: Cash row inquiry report: 'No cash was ever placed in that storeroom', claims Justice Yashwant Varma Justice Varma also questioned the evidence, stating that when he inspected the storeroom after the fire, no cash was present. “Later, a video was shown to me suggesting otherwise. This raises serious concerns about evidence tampering,” he added.He further pointed to previous online allegations against him in December 2024, hinting at a possible effort to damage his reputation.The Supreme Court has set up a three-member inquiry panel to investigate the case. The committee includes Punjab & Haryana high court, chief justice Sheel Nagu, Himachal Pradesh high court chief justice G S Sandhawalia, and Karnataka high court judge Anu Sivaraman.With the inquiry now underway, the Supreme Court will review Justice Varma’s response along with forensic findings related to the alleged cash recovery. The panel will determine whether there is any direct link between the cash and the judge or his family.The court’s directive to preserve Justice Varma’s mobile data suggests that phone records and messages could play a role in the investigation. The case has sparked debate in legal and political circles, with concerns about both judicial integrity and possible attempts to frame the judge.The committee is expected to submit its findings to the Supreme Court in the coming weeks.","Fire broke out in a storeroom at Justice Yashwant Varma's official residence in New Delhi. Firefighters allegedly found burnt cash at the scene, raising concerns about its origin. Justice Varma has strongly denied any wrongdoing, calling the allegations an attempt to malign him.","https://static.toiimg.com/thumb/msid-119365249,imgsize-4286684,width-400,resizemode-4/119365249.jpg"
Fugitive businessman Mehul Choksi living in Belgium: Report,https://timesofindia.indiatimes.com/india/fugitive-businessman-mehul-choksi-living-in-belgium-report/articleshow/119362229.cms,"<p>Mehul Choksi<br></p>

NEW DELHI: Fugitive businessman Mehul Choksi is reportedly living in Belgium's Antwerp with his wife, Preeti Choksi, after securing an ‘F Residency Card’ in the country, according to a media report.Indian authorities have reportedly urged Belgium to initiate his extradition to India after knowing his whereabouts, the Associated Times reported.Choksi, accused of defrauding Punjab National Bank of over Rs 13,000 crore, obtained residency in Belgium and secured an 'F Residency Card' on November 15, 2023, reportedly facilitated by his wife, a citizen of Belgium. According to the Carribean-focused media outlet, Choksi had fabricated his documents to Belgian authorities and misrepresented his nationality in his application process, failing to disclose the details of his existing citizenship.It is believed that Choksi was believed to be living in Antigua and Barbuda before travelling to Belgium and is planning to move to Switzerland.The matter came days after Antigua and Barbuda’s Foreign Minister EP Chet Greene said that Choksi is no longer on the island.Greene, who was invited to participate in the Raisina Dialogue, did not reveal where Choksi had gone and noted, “Mehul Choksi is not on the island. I am told he left Antigua for medical attention abroad (but) he remains a citizen of Antigua and Barbuda. The governments, yours (India) and mine, are working together on this matter.”Choksi departed from India in January 2018 after being implicated in the PNB case. His nephew, Nirav Modi, was also implicated and currently awaits extradition proceedings in London.In May 2023, Choksi informed a Mumbai special court that circumstances beyond his control prevented his return to India, contesting the label of 'fugitive economic offender'. He claims he did not leave to avoid prosecution and is not refusing to return, adding that Indian authorities suspended his passport.The ED approached the special court seeking to designate him as a 'fugitive economic offender' for avoiding their summons and to enable confiscation of his assets under applicable legislation.In May 2021, his disappearance from Antigua led to speculation about abduction by Indian authorities - claims disproven when he was located in Dominica. Some suggested he attempted to avoid potential extradition.Dominican authorities arrested him for unlawful entry, but he returned to Antigua on medical grounds with interim bail. The proceedings were halted in May 2022.Choksi disputed the illegal entry allegations, stating that individuals posing as police officers took him from his restaurant, Jolly Roger in Antigua, to Dominica by boat.In December 2023, Finance Minister Nirmala Sitharaman informed Parliament that assets valued at Rs 22,280 crore had been recovered or liquidated to settle debts of wanted persons including Choksi.","Indian authorities have reportedly urged Belgium to initiate his extradition to India. Choksi is accused of defrauding Punjab National Bank of over Rs 13,000 crore. He departed from India in January 2018 after being implicated in the PNB case. His nephew, Nirav Modi, was also implicated and currently awaits extradition.","https://static.toiimg.com/thumb/msid-119362696,imgsize-26178,width-400,resizemode-4/119362696.jpg"
'You rose to power promising a secular rule': Muslim body declines Bihar CM Nitish Kumar’s Iftaar invitation,https://timesofindia.indiatimes.com/india/you-rose-to-power-promising-a-secular-rule-muslim-body-declines-bihar-cm-nitish-kumars-iftaar-invitation/articleshow/119361879.cms,"PTI photo

A major Muslim organisation in Bihar, the Imarat Shariah, has declined Chief Minister Nitish Kumar’s invitation for an Iftaar gathering on Sunday.The group, which has a strong following in Bihar, Jharkhand, and Odisha, cited Kumar’s support for the Waqf Bill as the reason. They claim the bill will worsen the economic and educational conditions of Muslims.In a letter responding to the invitation, the Imarat Shariah said, “A decision has been taken not to attend the government Iftaar on March 23. This decision is in protest against your support for the Waqf Bill, which threatens to increase the backwardness of Muslims,” quoted PTI.The organisation accused Kumar of breaking his promise to protect minority rights. ""You rose to power promising a secular rule in which minorities' rights were protected. But your alliance with the BJP and your support for legislation that is unconstitutional and illogical militate against your stated commitments,"" the Imarat Shariah alleged.The Imarat Shariah further criticised the Iftaar event, calling it “tokenism.” It claimed that the government’s indifference to Muslim concerns made such events meaningless.The JD(U) has traditionally counted on Muslim votes by presenting Kumar as a secular leader. The state elections are scheduled for later this year.The Janata Dal (United), has not responded to the boycott yet.The Jamiat Ulema-e-Hind had announced on Friday that it will no longer engage with such individuals as a ""symbolic protest."" The organisation also said that it will not take part in their events, including Iftaar and Eid Milan.The Waqf (Amendment) Bill is set to be presented in the Lok Sabha next week. The proposed changes aim to update the Waqf system. Key provisions include tighter regulations on the registration and oversight of Waqf properties.One of the most controversial aspects of the bill is the change in ownership rules, which would affect historical mosques, dargahs, and graveyards managed by the board.","The Imarat Shariah, a major Muslim organisation in Bihar, has declined Chief Minister Nitish Kumar’s invitation for an Iftaar gathering on Sunday. They claim the bill will worsen the economic and educational conditions of Muslims. The Jamiat Ulema-e-Hind had announced on Friday that it will no longer engage with such individuals.","https://static.toiimg.com/thumb/msid-119362030,imgsize-29144,width-400,resizemode-4/119362030.jpg"
Can Heathrow nightmare hit Indian airports?,https://timesofindia.indiatimes.com/india/can-heathrow-nightmare-hit-indian-airports/articleshow/119361222.cms,"A question of backup

Where Indian airports stand

Pressure to make green break

How to avoid hiccups

The power outage that crippled London-Heathrow on Friday was not an isolated incident for the global airline industry, except for the scale of flight disruptions, which was unprecedented. Ask aviation experts and they’ll tell you that it’s more than just an operational mishap but a warning for the entire airline industry.International Air Transport Association (IATA) director general Willie Walsh voiced the questions now on everyone’s mind. “First, how is it that critical infrastructure, of national and global importance, is totally dependent on a single power source without an alternative? If that is the case, as it seems, then it is a clear planning failure by the airport.”Heathrow is the UK’s largest hub, handling over 1,300 flights a day. For comparison, Mumbai airport handles about 950 flights a day. Heathrow had to shut down after a fire at the North Hyde substation, located about 1.5 miles north of the airport, caused a “significant power outage”. A Heathrow spokesperson said “backup systems have been working as they should but they are not sized to run the entire airport”.Can such an incident occur at any airport in the world or was it merely a result of Heathrow’s legacy infrastructure? Experts said a substation fire may not be a risk unique to Heathrow, but it exposes the pitfalls of relying on a single external power source without sufficient backup systems or onsite supply in the form of solar, wind, or diesel generators, etc. Aviation norms ensure critical units like air traffic control towers, runway lighting, etc, are typically fed by uninterruptible power supply (UPS). The problem is with nonessential operations, the kind that involves operations at passenger terminals.Mumbai airport, India’s second largest airport with its two passenger terminals and one cargo terminal, consumes 26.9 MW power a day. “We receive power through two independent, redundant (back up) sources. In the event of a failure at one source, the other can seamlessly take over 100% of the power load to ensure operational continuity. Each terminal gets electricity from more than one power station,” said a Mumbai International Airport Ltd (MIAL) spokesperson.There are multiple pathways to deliver power to each terminal. “The system is designed to handle not just one failure, but two back-to-back failures without stopping operations. Both the terminals and the airfield have their own diesel generators, with a total capacity of 30 MW. These get activated in the case of a rare, major failure,” the official said. Mumbai airport runs on 100% renewable energy, 5% comes from on-site solar generation and 95% from hydro and wind energy. Bangalore International Airport Ltd (BIAL) said it uses a highly resilient and redundant power infrastructure for uninterrupted operations. “BLR airport receives power from Begur substation, which gets power through four independent supply lines from different substations,” said Hari Marar , MD and CEO, BIAL. “BIAL has also installed a separate transformer at the Begur substation dedicated for airport operations, minimising the risk of disruptions and also integrated on-site solar power generation and gone for tieups with off-site external renewable energy suppliers, ensuring a steady supply of green power,” he added.Unlike the 16-year old Bengaluru airport, many major airports rely on infrastructure designed long before modern digital systems and sustainability requirements became key concerns. While airports have kept upgrading facilities, many remain dependent on outdated power grids, centralised energy supply, and legacy IT systems that can be difficult to overhaul. Heathrow, for instance, opened in 1946 and expanded incrementally. Its electrical systems reflect a patchwork of upgrades rather than a fully modernised design, said an aviation expert.Most major hubs and airports of the world have started moving towards 2050 net-zero carbon emission goals (India’s net-zero target is set for 2070). In the coming decades, the demand for electricity at airports will see a steep rise as it powers everything from vehicles to aircraft. The move towards sustainable energy will happen even as terminal buildings and runways handle ever-increasing volumes of passengers and flights. Airports have begun preparing for this and “electrical resilience” has become a critical aspect of operations in recent years.All the 40 airports surveyed in a US study were found to be planning for or completing electrical infrastructure projects aimed at increasing their power resilience. These include removing overhead routes for an airport’s main feeder lines and taking those underground, and upgrading infrastructure to eliminate single points of failure. The latter is exactly the kind of upgrade that would prevent a Heathrow-like crisis.One of the most promising solutions — which began to find takers starting in the early 2000s — is the adoption of microgrids. These are localised grids that can operate independently or in tandem with the main grid, offering a self-sustained power supply. Microgrids can integrate renewable energy sources like solar and wind. Through these, and along with battery storage and backup generators, airports can reduce their reliance on external power sources. As airports move towards an increasingly electrified future, ensuring power reliability is no longer optional. Heathrow’s disruption should not just be another unfortunate event in aviation history — it should be a turning point.","Heathrow's power outage is a warning for the entire airline industry. Mumbai airport runs on 100% renewable energy, 5% comes from on-site solar generation and 95% from hydro and wind energy. Bangalore International Airport Ltd (BIAL) said it uses a highly resilient and redundant power infrastructure for uninterrupted operations.","https://static.toiimg.com/thumb/msid-119361225,imgsize-6416,width-400,resizemode-4/119361225.jpg"
Nagpur riot-hurt dies; CM Devendra Fadnavis says vandals must pay up,https://timesofindia.indiatimes.com/india/nagpur-riot-hurt-dies-cm-devendra-fadnavis-says-vandals-must-pay-up/articleshow/119359389.cms,"Fadnavis hints at

Malegaon link

to

Nagpur riots

, says int'l elements' role being probed

NAGPUR: A 38-year-old welder died Saturday from wounds suffered in Monday night's riots in Nagpur, becoming the first fatality linked to the violence over demands to remove Mughal emperor Aurangzeb's tomb from Chhatrapati Sambhajinagar.Sources said Irfan Shafiq Ahmed Ansari from Bande Garib Nawaz Nagar was caught in the crossfire while heading to Itwari station. His family demanded murder charges against rioters and compensation. CM Devendra Fadnavis promised strict action against rioters, including recovering the cost of property damage from them.Irfan Shafiq Ahmed Ansari, who was injured in the crossfire during the Nagpur riots, was found critically wounded and was taken by senior inspector Sanjay Singh to a hospital. Govt covered medical expenses of Ansari.Two men accused in Ansari's assault have been arrested. CM Devendra Fadnavis promised strict action against rioters and stone-throwers, including recovering the cost of property damage from them. ""We will survey the damages and pay compensation to those whose vehicles or properties were damaged. The money will be disbursed in a week, but we will ensure it's collected from the rioters,"" he said. ""If they fail to pay up, their properties will be seized and sold to recover losses.""Fadnavis reviewed the law-and-order situation in affected areas and suggested a connection between the Nagpur riots and Malegaon, saying authorities were investigating involvement of international elements. He said PM Modi's scheduled visit to Nagpur for Gudi Padwa would proceed as planned.Police arrested alleged riot mastermind Fahim Khan's mentor M Hamid Engineer, president of Minorities Democratic Party, and web portal journalist Mohd Shahzad. Both were held late Friday night for allegedly inciting the riots and charged with sedition.Police sources said Engineer has provided leads regarding the Malegaon link mentioned by Fadnavis. Engineer, a long-time figure in minority politics, had allegedly flooded social media with inflammatory posts before the riots.His online appeal for contributions to ""Mujahideen"" raised speculation about his role in inciting violence in Nagpur. Engineer had been arrested earlier in 2011 for his alleged role in the Mominpura mob violence. Shahzad had circulated a speech by Khan that went viral. Both men were remanded in police custody for three days.A special committee from opposition Congress accused state govt and police of conducting a biased investigation, alleging that groups affiliated with the governing alliance were receiving ""silent support"" to incite violence.The delegation was denied permission Saturday to visit the riot-affected areas and warned of legal action if they defied the order. ""CM says it was a conspiracy. If so, then what was your law-and-order machinery doing? CM must resign, or the governor must dismiss this govt,"" Congress' Manikrao Thakre said.","Irfan Shafiq Ahmed Ansari was caught in the crossfire while heading to Itwari station. CM Devendra Fadnavis promised strict action against rioters, including recovering the cost of property damage from them. PM Modi's scheduled visit to Nagpur for Gudi Padwa will proceed as planned.","https://static.toiimg.com/thumb/msid-119359982,imgsize-1021360,width-400,resizemode-4/119359982.jpg"
"SC uploads video of burnt currency given by police, HC CJ suggests deeper probe; judge Yashwant Varma cries conspiracy",https://timesofindia.indiatimes.com/india/sc-uploads-video-of-burnt-currency-given-by-police-hc-cj-suggests-deeper-probe-judge-yashwant-varma-cries-conspiracy/articleshow/119358397.cms,"NEW DELHI: A video that Delhi Police commissioner Sanjay Arora shared with CJI I Sanjiv Khanna and Delhi HC CJ D K Upadhyay, purportedly revealing burnt cash at Justice Yashwant Varma 's house on March 14, appears to have clinched the case for a deeper probe against the sitting Delhi HC judge, who, despite the graphic evidence, had claimed to be innocent and alleged a frame-up.CJI Khanna on Friday asked Delhi HC CJ to categorically seek Justice Varma's response to three queries: 1) How does he (Justice Varma) account for the presence of money/cash in the room located on his premises; 2) Explain the source of money/cash that was found in the said room; and 3) Who is the person who had removed the burnt money/cash from the room in the morning of March 15, 2025?CJ Upadhyay, in his report to the CJI, said Delhi Police chief Arora had shared video of the alleged fire incident and the discovery of cash in the residence of Justice Varma on March 14 night. He said that on being shown the video and asked about the source of the money and explanation about its presence in his official bungalow, Justice Varma expressed ""some apprehension about conspiracy against him"". The Delhi CJ concluded by saying , "" I am of the prima facie opinion that the entire matter warrants a deeper probe.""The CJI had also asked Delhi HC CJ to ascertain ""details of the official staff of the HC Registry, the personal security officers and the security guards who were posted at the residence of Justice Varma during the last six months. Request letter may be sent to the mobile service provider(s) for providing call record details of the official or other mobile phone number(s) of Justice Yashwant Varma for the last six months"".The CJI had also asked Justice Upadhyay to advise Justice Varma to ""not dispose of his mobile phone(s) or delete or modify any conversation, messages or data from his mobile phone(s)"".In response, Delhi HC CJ wrote: ""The call details record has been received and is being forwarded in a pen drive along with this letter. As regards IPDR, the same shall be furnished to you as soon as it is received from the commissioner of police, Delhi/mobile service provider""Maintaining that he was innocence, Justice Varma wrote: ""I state unequivocally that no cash was ever placed in that storeroom either by me or any of my family members and strongly denounce the suggestion that the alleged cash belonged to us. The very idea or suggestion that this cash was kept or stored by us is totally preposterous. The suggestion that one would store cash in an open, freely accessible and commonly used storeroom near the staff quarters or in an outhouse verges on the incredible and incredulous.""On the video of the cash on his residential premises, Justice Varma said, ""I was totally shocked to see the contents of the video since that depicted something, which was not found on site as I had seen it. It was this that prompted me to observe that this clearly appeared to be a conspiracy to frame and malign me. It also lends credence to my firm belief that the entire incident is part of a sequence of events, which occurred in the recent past, including the unfounded allegations that circulated on social media in Dec 2024.""He added: ""What baffles me is the complete absence of any sacks of allegedly burnt currency that were ever recovered or seized. We categorically assert that neither my daughter, PS nor household staff were shown these so-called sacks of burnt currency,"" he said.","A video that Delhi Police commissioner Sanjay Arora shared with CJI I Sanjiv Khanna and Delhi HC CJ D K Upadhyay, purportedly revealing burnt cash at Justice Yashwant Varma's house on March 14, appears to have clinched the case for a deeper probe. Despite the graphic evidence, Justice Varma claimed to be innocent and alleged a frame-up. The Delhi CJ concluded by saying, "" I am of the prima facie opinion that the entire matter warrants a deeper Probe""","https://static.toiimg.com/thumb/msid-119358635,imgsize-831802,width-400,resizemode-4/119358635.jpg"
'Was leading a team of software engineers': Kolkata techie jumps to death from office building,https://timesofindia.indiatimes.com/city/kolkata/kolkata-techie-jumps-to-death-from-office-bldg-6th-floor/articleshow/119224250.cms,"Key highlights:

Dwaipayan Bhattacharjee, a senior manager at an Indo-American IT firm, tragically died after falling from his office building's 6th-floor refuge area.

Investigations reveal Bhattacharjee was battling depression, and police are examining all angles, including reviewing CCTV footage for further insights.

Bhattacharjee's colleagues noticed his distress on the day of the incident, and his family confirmed he had been under significant stress recently.

KOLKATA: A 50-year-old senior manager employed with an Indo-American multinational IT consulting and outsourcing company, Dwaipayan Bhattacharjee, jumped to death from the 6th-floor refuge area of his office at Candor Techspace in New Town on Wednesday afternoon.A resident of Mudiali in south Kolkata, he is survived by his wife and two children. Investigations revealed that Bhattacharya was battling depression and was under medication. While initial findings indicate suicide, police are investigating all possible angles.According to police sources, Bhattacharya arrived at work as usual and logged into his system. However, colleagues claimed that he appeared distressed and distracted throughout the day. Shortly after lunch, around 3 pm, his bloodied body was found at the parking lot outside the office tower. His family also informed authorities that he was under stress in recent times.""We are reviewing CCTV footage to determine the exact circumstances under which he accessed the refuge area ,"" said a senior officer of Bidhannagar City Police.A 1994-batch (BSc physics) Presidency University alumnus, Bhattacharya was leading a team of software engineers in his organisation. The on-duty security guards were the first to react after hearing a loud thud. They found him lying face down in a pool of blood.Senior office personnel alerted the police, and Bhattacharya was rushed to a nearby private hospital. He was admitted to the Intensive Care Unit but succumbed to multiple injuries . Cops have sent the body for post-mortem and are examining his gadgets.""A case of unnatural death has been registered at Techno City police station,"" the officer added.","Dwaipayan Bhattacharjee, a senior manager at an Indo-American IT firm, tragically died after falling from his office building's 6th-floor refuge area. His colleagues noticed his distress on the day of the incident, and his family confirmed he had been under significant stress recently.","https://static.toiimg.com/thumb/msid-119234732,imgsize-23934,width-400,height-225,resizemode-72/119234732.jpg"
CBI files closure report in actor Sushant Singh Rajput death case,https://timesofindia.indiatimes.com/india/cbi-files-closure-report-in-actor-sushant-singh-rajput-death-case/articleshow/119348385.cms,"NEW DELHI: The Central Bureau of Investigation (CBI) has filed a closure report in the death case of actor Sushant Singh Rajput The actor was found hanging at his Bandra home on June 14, 2020.The CBI on Saturday submitted its findings before a special court in Mumbai which will now decide whether to accept the report or order further probe by the agency, officials told news agency PTI.The Mumbai Police's initial report had indicated that Rajput's death was a case of suicide. Investigators had found no evidence of forced entry, and the preliminary findings suggested that depression could have been a contributing factor. His body was discovered hanging from the ceiling fan, but no suicide note was recovered from the scene.Later, Sushant’s family lodged an FIR in Patna against Rhea Chakraborty and others, alleging abetment to suicide, theft, cheating, and wrongful confinement. This led to a jurisdictional dispute between the Bihar Police and the Mumbai Police, as the latter had initially been handling the investigation.Following the Bihar government’s recommendation, the central government approved a CBI probe into the case. On August 19, 2020, the Supreme Court of India directed the CBI to take over the investigation, granting the central agency full authority to conduct the inquiry.In its conclusive medico-legal opinion to the CBI, forensic specialists at AIIMS had dismissed the claims of ""poisoning and strangling"" made in the case.","Sushant Singh Rajput was found hanging at his Bandra home on June 14, 2020. The Mumbai Police's initial report had indicated that Rajput's death was a case of suicide. His family lodged an FIR in Patna against Rhea Chakraborty and others.","https://static.toiimg.com/thumb/msid-119348368,imgsize-17390,width-400,resizemode-4/119348368.jpg"
"BJP wary of Nitish Kumar's 'erratic behaviour', fears it will give ammo to opposition before Bihar polls",https://timesofindia.indiatimes.com/india/bjp-wary-of-nitish-kumars-erratic-behaviour-fears-it-will-give-ammo-to-opposition-before-bihar-polls/articleshow/119322270.cms,"NEW DELHI: As Bihar chief minister Nitish Kumar continues with his unpredictable and ""erratic"" behaviour, a section of BJP is worried about the repercussions of his ""poor health"", even as the party remains firm on contesting the assembly polls due this year under his leadership.In a fresh controversy, Kumar abruptly got off the stage when the announcement for the national anthem was made after the inauguration of the Sepak Takraw World Cup in Patna on Thursday and began exchanging pleasantries with the participants. Later, when the national anthem was played, he stood smiling and waving at bystanders.Kumar came under heavy opposition fire in both Houses of the state legislature for disrespecting the national anthem. His latest act led to much mirth and has given fodder to opposition parties, RJD and Congress, to exploit in the upcoming state polls, arguing he can't be given another term in view of his health condition.BJP, sources said, is confident of winning another term alongside JDU and LJP, but the party's worry is that Kumar's unexpected behaviour in the public glare has often given openings to opponents.The party, however, believes Kumar continues to be a valuable partner, and the memories of RJD's ""jungle raj"" will blunt any possibility of ""anti-incumbency"". Moreover, Kumar is credited with good governance and raising the bar in terms of performance which, BJP insiders feel, will help the alliance win another term.Of late, Kumar's behaviour has not followed a consistent pattern; there have been days when no mishaps took place and he appeared to be in control, like during his 'Pragati Yatra', even though he was in the public glare for several days. But there have been odd days when Kumar behaved in a manner that his opponents derided him, and his supporters found difficult to justify. ""We hope that Nitish Kumar will overcome his on-off ways,"" a BJP functionary said.On questions raised by opposition parties on Kumar's fitness, BJP spokesperson Sambit Patra said it would not be appropriate for him to comment on any neta's health. ""One can talk about political fitness, and everyone knows who is the most politically unfit leader,"" he said in a swipe at Congress's Rahul Gandhi.","Bihar chief minister Nitish Kumar continues with his unpredictable and ""erratic"" behaviour. A section of BJP is worried about the repercussions of his ""poor health"" The party remains firm on contesting the assembly polls due this year under his leadership.","https://static.toiimg.com/thumb/msid-119323734,imgsize-61526,width-400,resizemode-4/119323734.jpg"
