Article Title,Article Link,Article Text,Article Summary,Article Image
Mr. 360’s litmus test: Suryakumar Yadav targets IPL turnaround amid T20 woes,https://timesofindia.indiatimes.com/sports/cricket/ipl/mr-360s-litmus-test-suryakumar-yadav-targets-ipl-turnaround-amid-t20-woes/articleshow/119363178.cms,"Mumbai Indians batter Suryakumar Yadav. (Photo: X/MI)

Go Beyond The Boundary with our YouTube channel.

IPL 2025: How will KKR, MI, CSK, SRH, RCB fare this season?

TimesofIndia.com in Chennai: Suryakumar Yadav was all relaxed, had a nice laugh when MS Dhoni was referred to as an ""uncapped player"" and looked upbeat for the upcoming season of the Indian Premier League (IPL). This edition carries an additional layer of significance for Surya who hasn't had the best of times with the bat since taking over T20I captaincy from Rohit Sharma after the World Cup last year. India operated without fear and have had a splendid run under new head coach Gautam Gambhir in the bilaterals which followed but the spunk has been missing from Surya's blade.Fifteen outings as a captain have yielded a meagre 258 runs and struggles continued in the domestic circuit for Mumbai too. The bat which once breathed fire has been ice cool for a very long time and the IPL presents an opportunity to get back amongst the runs. The right-hander enjoyed a lot of success at No. 3 but has himself pushed down the order to accommodate Tilak Varma who has been in red hot form. While the move paid rich dividends for the young left-hander, Surya's batting stock has been on a bear run since then.With the Mumbai Indians , he will be free from captaincy duties, except the first game where he is leading because of Hardik Pandya's slow-over rate suspension, and would look to rediscover the mojo in the next few weeks. When asked about the return to No.3 spot, Surya kept cards close to his chest and asserted he is flexible to bat anywhere in the batting order.""It's always good to have that impact at the top. And I have seen that guy (Tilak), he has been working really hard. So for Team India, I thought it would be better if he can bat at number 3 and I can take the responsibility at number 4. Because for me, I think batting number doesn't matter. I will try and bat the same way, try and make that impact whenever there is an opportunity. And so does he. So you might see guys being flexible during this season, during this stint with the IPL. And everyone is flexible. Even I can bat at 3... I can bat at 5, Tilak can bat at 5. So it's that flexibility we have in our team,"" said Surya at the pre-match presser in Chennai.The 34-year-old continues to work hard in the nets and is hoping luck remains on his side during the cash-rich league. Clear mindset has always been the key and the right-hander wants to find that ""sweet spot"" consistently this season.""With the form, I think the harder you work, the luckier you get. If it has to come, it will come anytime. But I am actually a process-oriented man. I love to work hard in the nets. And if the runs have to follow, it will follow quickly. I love to follow a good process, good routine when I am there during practice sessions. If I am practicing well, hitting the ball really well in the nets. When I go into the game, if my mind is clear, I know what I have to do. That is the moment, that is the sweet spot for me. When I know that I am in good space and I will get runs for the side,"" explained Surya.Mumbai Indians get their campaign underway on Sunday and the focus will remain on Surya, and his returns with the bat, as the Indian cricket team has a heavy T20I calendar before the T20 World Cup next year and the last thing the side would want is the skipper's extended lean patch with the bat.He will have his ""eyes wide open"" keeping track of his India teammates but the extra significance the season carries will certainly be a test of Mr 360's character.",Suryakumar Yadav has struggled with the bat since taking over T20I captaincy from Rohit Sharma after the World Cup last year. The right-hander enjoyed a lot of success at No. 3 but has himself pushed down the order to accommodate Tilak Varma. The 34-year-old continues to work hard in the nets and is hoping luck remains on his side.,"https://static.toiimg.com/thumb/msid-119363374,imgsize-176530,width-400,resizemode-4/119363374.jpg"
Krunal Pandya's triple strike turns the tide as RCB crush KKR by 7 wickets in IPL opener,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/krunal-pandyas-triple-strike-turns-the-tide-as-rcb-crush-kkr-by-7-wickets-in-ipl-opener/articleshow/119351314.cms,"Royal Challengers Bengaluru's Krunal Pandya, right, celebrates with teammate Virat Kohli. (AP Photo)

Go Beyond The Boundary with our YouTube channel.

As it happened:

Brief Scores:

Kolkata Knight Riders 174/8 in 20 overs (Ajinkya Rahane 56, Sunil Narine 44; Krunal Pandya 3-29)

174/8 in 20 overs (Ajinkya Rahane 56, Sunil Narine 44; Krunal Pandya 3-29) Royal Challengers Bengaluru 177/3 in 16.2 overs (Virat Kohli 59 not out, Phil Salt 56; Sunil Narine 1-27)

NEW DELHI: Royal Challengers Bengaluru (RCB) started their IPL 2025 campaign with a bang, securing a convincing seven-wicket win over defending champions Kolkata Knight Riders (KKR) at the iconic Eden Gardens on Saturday. Led by new skipper Rajat Patidar, RCB showcased their dominance with both bat and ball to kick off their season in style.Chasing a competitive target of 175, RCB's dynamic opening pair of Phil Salt and Virat Kohli stole the show. The duo put on a blistering 95-run stand in just 8.3 overs, setting the foundation for an easy chase. Salt was the aggressor, hammering 56 off 31 balls with nine fours and two sixes. Kohli, the ""chase master,"" remained unbeaten on 59 off 36 deliveries, guiding RCB to 177/3 in 16.2 overs. Though KKR managed to pick up a few wickets, the damage had already been done, with Liam Livingstone sealing the victory with a boundary.The turning point of the match, however, came in the first innings when Krunal Pandya produced a remarkable spell to restrict KKR. At one stage, KKR seemed destined for a massive total, reaching 107/1 after 10 overs, with Ajinkya Rahane (56) and Sunil Narine (44) smashing the RCB bowlers. However, Krunal’s three-wicket burst in quick succession changed the game. He dismissed Rahane, Venkatesh Iyer (6), and Rinku Singh (12), sending shockwaves through the KKR camp and halting their momentum.Rahane fell trying to clear the boundary but found the fielder at deep backward square leg. Soon after, Venkatesh Iyer and Rinku Singh fell prey to Krunal’s sharp turn and clean bowled by the RCB spinner. The once-promising innings collapsed from 107/1 to 145/5 within just a few overs. KKR never recovered, eventually posting 174/8 in their 20 overs.Josh Hazlewood complemented Krunal's efforts, claiming two wickets for 22 runs, including the key scalp of Quinton de Kock in the opening over. Rasikh Salam, Yash Dayal and Suyash Sharma chipped in with a wicket each.Despite the valiant efforts of Rahane and Narine, KKR’s middle order faltered under pressure, unable to capitalise on the strong start. The combination of Krunal’s decisive spell and RCB’s ruthless batting performance made the difference, ensuring a commanding victory for the visitors.","Royal Challengers Bengaluru (RCB) beat Kolkata Knight Riders (KKR) by seven wickets. RCB posted 177/3 in 16.2 overs, chasing 175 for victory. Phil Salt and Virat Kohli put on 95-run stand in 8.3 overs. KKR posted 174/8 in their 20 overs, with Ajinkya Rahane scoring 56.","https://static.toiimg.com/thumb/msid-119351375,imgsize-210496,width-400,resizemode-4/119351375.jpg"
IPL 2025: Virat Kohli reaches new milestone with heroics in KKR vs RCB opener,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2025-virat-kohli-reaches-new-milestone-with-heroics-in-kkr-vs-rcb-opener/articleshow/119349724.cms,"Virat Kohli (PTI Photo)

NEW DELHI: Batting stalwart Virat Kohli achieved another significant milestone in his IPL career on Saturday in the Indian Premier League (IPL) opener at Eden Gardens, completing over 1,000 runs against Kolkata Knight Riders (KKR).During the IPL 2025 season opener, Kohli played a match-winning knock of 59 not out off 36 balls to help Royal Challengers Bengaluru (RCB) chase down a target of 175 set by KKR.This innings not only propelled RCB to a seven-wicket victory but also marked his 1,000+ runs against KKR, further cementing his place as one of the most consistent and prolific batsmen in IPL history.This victory was special for Kohli, as it marked his 1,000+ runs against KKR, one of the four teams he has dominated over the years.The others include CSK, DC, and PBKS, against whom he has also crossed the 1,000-run mark.Kohli, along with Phil Salt, who scored a fiery 56 off 31 balls, formed a solid opening partnership that saw RCB off to a blazing start.The pair added 95 runs for the first wicket in just 8.3 overs, taking the game away from KKR early. Their fast-paced approach made the chase look easy, with RCB reaching the target in just 16.2 overs with 177/3 on the board.Kohli’s composure and ability to adapt to the situation was evident, as he played with calm authority, seeing his side through the chase with crucial boundaries and sixes.Earlier in the match, KKR had set a competitive target, finishing their innings at 174/8. Ajinkya Rahane played a key role with 56 runs, and Sunil Narine provided valuable support with a quickfire 44 off 26 balls.However, RCB’s bowlers, led by Krunal Pandya (3/29) and Josh Hazlewood (2/22), executed a well-structured comeback after KKR’s solid start.Their combined efforts restricted KKR from accelerating in the death overs, leaving them with a target that was always within reach for RCB.As RCB have made a strong start to IPL 2025, Kohli’s contribution on and off the field remains invaluable.","Royal Challengers Bengaluru (RCB) beat Kolkata Knight Riders (KKR) by seven wickets in IPL 2025 season opener. Virat Kohli scored 59 not out to help RCB chase down a target of 175 set by KKR. This innings marked his 1,000+ runs against KKR, one of the four teams he has dominated over the years.","https://static.toiimg.com/thumb/msid-119351406,imgsize-153158,width-400,resizemode-4/119351406.jpg"
"Watch: MS Dhoni, Hardik Pandya's tight hugs steal the spotlight ahead of CSK vs MI IPL 2025 encounter",https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/watch-ms-dhoni-hardik-pandyas-tight-hugs-steal-the-spotlight-ahead-of-csk-vs-mi-ipl-2025-encounter/articleshow/119345916.cms,"MS Dhoni and Hardik Pandya (Screengrab)

NEW DELHI: In a moment that melted hearts and transcended team rivalries, Hardik Pandya and MS Dhoni shared a warm, heartfelt hug during a training session ahead of the blockbuster IPL 2025 clash between Mumbai Indians and Chennai Super Kings at Chepauk.As cameras zoomed in, the sight of the former India captain and the current T20I star embracing was more than just a photo-op. In all, it was a gesture soaked in mutual respect, brotherhood, and years of shared cricketing history.Dhoni, a legend whose calm leadership defined an era, and Pandya, once his protégé and now a leader himself, stood in a quiet moment of camaraderie before the storm of ""El Clasico"" -- the most celebrated rivalry in IPL history.Watch:Their paths have been vastly different but closely intertwined -- from lifting trophies together for India to now captaining the two most successful franchises in IPL history.Even though Pandya will not be playing the opening game due to a one-match suspension, his presence at the venue and this gesture toward Dhoni sent a strong message: that beyond the fierce competition, IPL continues to be a celebration of relationships built over time.With CSK boasting a spin-heavy lineup and MI missing key players like Jasprit Bumrah and suspended skipper Hardik Pandya, the home side starts as slight favourites.MS Dhoni’s leadership remains central, while Suryakumar Yadav steps in as MI captain. CSK’s recent dominance over MI add intrigue, and the match will also showcase the new ball-change rule.Despite MI's depleted squad, their explosive top order sets the stage for a thrilling contest between two IPL powerhouses.","Hardik Pandya and MS Dhoni share a warm, heartfelt hug during a training session ahead of the blockbuster IPL 2025 clash between Mumbai Indians and Chennai Super Kings. Pandya will not be playing the opening game due to a one-match suspension, but his presence at the venue sent a strong message.","https://static.toiimg.com/thumb/msid-119346964,imgsize-33446,width-400,resizemode-4/119346964.jpg"
'Now pressure will be on Babar and Rizwan': Basit Ali gives technical guidance to Babar Azam,https://timesofindia.indiatimes.com/sports/cricket/news/now-pressure-will-be-on-babar-and-rizwan-basit-ali-gives-technical-guidance-to-babar-azam/articleshow/119343877.cms,"Babar Azam (X Photo)

Go Beyond The Boundary with our YouTube channel.

NEW DELHI: Former cricketer Basit Ali has shared technical guidance with Pakistan's star player Babar Azam . Ali believes Azam will emerge as the ""best batter"" in the forthcoming Pakistan Super League (PSL).Following a disappointing performance in the recent Champions Trophy , Babar's position has weakened. Whilst being excluded from the T20I squad against New Zealand, he maintained his place in the ODI team.As Babar aims to regain his form in the upcoming three ODIs against New Zealand, Basit has offered technical suggestions, advising him to utilise his ""bottom hand"" and adjust his bat positioning.""Babar should reduce his stance. He should also slightly open his bat. His bat is closed, and he should try to use his bottom hand more in the powerplay. Now pressure will be on Babar and Rizwan,"" Basit shared on his YouTube channel.Mohammad Rizwan, alongside Babar, was removed from the T20I series in New Zealand. This decision created opportunities for fresh talent in the team.The tournament launches on April 11 with Islamabad United facing Lahore Qalandars. Basit has predicted that Babar, representing Peshawar Zalmi , will deliver the finest batting performance in the competition.""Babar Azam will be the best batter in PSL,"" Basit stated.Peshawar's PSL journey begins against Quetta Gladiators on April 12 at the Rawalpindi Cricket Stadium .","Former cricketer Basit Ali has shared technical guidance with Babar Azam. Ali believes Azam will emerge as the ""best batter"" in the forthcoming Pakistan Super League. The tournament launches on April 11 with Islamabad United facing Lahore Qalandars.","https://static.toiimg.com/thumb/msid-119344146,imgsize-43044,width-400,resizemode-4/119344146.jpg"
Boxing Federation of India elections ‘paused’ due to legal hurdles,https://timesofindia.indiatimes.com/sports/boxing/boxing-federation-of-india-elections-paused-due-to-legal-hurdles/articleshow/119330505.cms,"Go Beyond The Boundary with our YouTube channel.

NEW DELHI: Facing legal hurdles after disgruntled member state associations approached courts, the Boxing Federation of India ’s ( BFI ) forthcoming elections were on Friday “paused” by Returning Officer RK Gauba after incumbent Ajay Singhled governing body informed the RO that it is seeking urgent intervention against the “contradictory orders” issued by the judiciary.The BFI’s elections are scheduled for March 28 in Gurugram.“The president of the BFI has communicated...since these orders have the potential to disrupt the ongoing electoral process/schedule, we are taking steps to approach the superior courts for urgent intervention. Therefore, it’s requested that further orders be awaited before the conflicting orders of the high courts are acted upon,” Gauba quoted Singh as saying in his order.The RO – a former Delhi high court judge – said that the election process would remain paused until the federation informs him of the steps taken in response to the court orders.“Thus, the process is paused till BFI informs of the action taken in the wake of the court orders,” Gauba wrote.Two days ago, the Delhi High Court had stayed the federation’s March 7 directive signed by Singh that “only duly-elected members of BFI’s affiliated units are authorised to represent their respective states in the elections”.The court had ruled on a petition filed by the Delhi Amateur Boxing Association (DABA), paving the way for its office-bearers Rohit Jainendra Jain and Neeraj Kant Bhatt to vote in the BFI’s annual general meeting (AGM) as Delhi boxing body’s representatives.On Thursday, another ruling by the Himachal Pradesh High Court allowed former sports minister Anurag Thakur to contest the BFI’s presidential election by staying his disqualification from the electoral college based on the March 7 circular, and directed Gauba to include the senior BJP leader’s name as one of the representatives from the Himachal boxing body to enable his candidature.It’s been learnt that the Maharashtra state boxing association has also filed a writ petition before the High Court of Judicature at Bombay, impleading the RO to stay the elections.",Boxing Federation of India ’s forthcoming elections were on Friday “paused’ by Returning Officer RK Gauba. Returning Officer said that the election process would remain paused until the federation informs him of the steps taken in response to the court orders.,"https://static.toiimg.com/thumb/msid-119330498,imgsize-11726,width-400,resizemode-4/119330498.jpg"
Eden Gardens weather today: Will KKR vs RCB be spoiled by rain in Kolkata?,https://timesofindia.indiatimes.com/sports/cricket/ipl/eden-gardens-weather-today-will-kkr-vs-rcb-be-spoiled-by-rain-in-kolkata/articleshow/119326018.cms,"Kolkata: Covers on the field at the Eden Gardens amid rainfall, ahead of the Indian Premier League (IPL) 2025s first match between Kolkata Knight Riders and Royal Challengers Bengaluru. (PTI)

Go Beyond The Boundary with our YouTube channel.

IPL: How will GT, LSG, DC, PBKS, RR fare? Greenstone Lobo predicts

Weather prediction for KKR vs CSK in IPL 2025

A persistent drizzle on Friday evening forced an early end to the practice sessions of both Kolkata Knight Riders (KKR) and Royal Challengers Bengaluru (RCB) ahead of their IPL 2025 opener at Eden Gardens on Saturday. Both teams began training at 5pm as scheduled, but rain arrived by 6pm, prompting ground staff to swiftly cover the field while players wrapped up their preparations. Thankfully, Eden Gardens is among the few venues equipped with full ground covers, ensuring the pitch and outfield remained protected.The Indian Meteorological Department has issued an ""orange alert"" for Friday and Saturday, warning of thundersqualls, gusty winds, lightning, hail, and moderate rainfall in several districts of West Bengal, including Kolkata.Friday’s forecast highlighted severe weather in districts like Jhargram, Midnapore, Bankura, and Hooghly, while Saturday could bring thunderstorms and rain to Nadia, Birbhum, Murshidabad, and both North and South 24 Parganas.KKR vs RCB is scheduled for a 7:30pm start, with toss at 7pm. A grand opening ceremony, featuring Shreya Ghoshal and Disha Patani, is planned to begin at 6pm, though the weather could disrupt proceedings.Per IMD, there is a prediction of ""light to moderate rainfall, thunderstorms, lightning, and strong winds are expected"" until Saturday.As per IPL rules, league matches have a one-hour buffer, allowing play until 12:06am, with a five-over game cut-off set at 10:56pm. Rain has already impacted preparations, washing out a recent KKR intra-squad game.","Kolkata Knight Riders (KKR) and Royal Challengers Bengaluru (RCB) begin their IPL 2025 opener at Eden Gardens on Saturday. Both teams began training at 5pm as scheduled, but rain arrived by 6pm. The Indian Meteorological Department has issued an ""orange alert"" for Friday and Saturday, warning of thundersqualls, gusty winds, lightning, hail, and moderate rainfall.","https://static.toiimg.com/thumb/msid-119325994,imgsize-217142,width-400,resizemode-4/119325994.jpg"
IPL 2025’s star attraction: The battles within battles,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2025s-star-attraction-the-battles-within-battles/articleshow/119328587.cms,"Virat Kohli (Photo Source: X)

Go Beyond The Boundary with our YouTube channel.

KOLKATA: Another season in the sultry Indian summer. Another round of a cocktail of cricket and entertainment, with its unique spicy garnish. Another edition of the Indian Premier League (IPL), which has redefined the game in less than two decades of its existence. Even as its original founder Lalit Modi grapples with uncertainties over his nationality, the IPL has firmly shown that it is here to stay.On Saturday, the T20 tournament starts yet another two-month journey of breathless excitement. Plenty of runs, cheerleaders dancing to blaring music, some nail-biting late finishes, maybe some rain. Defending champions Kolkata Knight Riders take on perennial pretenders Royal Challengers Bengaluru in the opening match at the Eden Gardens, with the inaugural ceremony peppered with some Bollywood-style frolic, weather permitting.Shreya Ghoshal, Karan Aujla and Disha Patani are among the entertainers to have been lined up for the gala event. ‘Host of honour’ Shah Rukh Khan could well shake a leg or two. The possibility of rain and thunderstorm has been a mood dampener. Fingers crossed.Battles within the battle have always been the top draw in the IPL evening (and a few matinee) shows. How about a Virat Kohli vs Varun Chakravarthy for starters? As much as the teams, the IPL is also about individuals.Loyalties change with the colour of the jersey. In the blink of an eye, forever friends become foes on the field. Take Phil Salt, for example. The Englishman was so crucial in KKR’s triumph last year. He will be there in Saturday’s opening show, but in the rival camp. Ask him how he feels coming up against Harshit Rana, and he’ll have mixed feelings.Fellow Englishman Jos Buttler was surprised when Rajasthan Royals let him go, even penning a heartfelt farewell to the Jaipur franchise. Clearly, emotions have no place in the IPL auction, where only practical logic works. Buttler now has an opportunity to showcase his power for Gujarat Titans.And Kohli has another chance to grab the trophy missing from his cabinet even after 17 years of toil. With questions on his longevity abound, age doesn’t seem to have dimmed his enthusiasm. Eyeballs will still follow him wherever he plays: Those animated celebrations; those death stares. Although Kohli will be playing under Rajat Patidar, the India star in all likelihood, will have a major say in decision making.Patidar, incidentally, made his IPL debut in 2021, by which time Kohli had already played 192 matches. Ditto for Chennai Super Kings where Mahendra Singh Dhoni, one of the shrewdest cricketing brains, could be the guiding light for Ruturaj Gaikwad.KL Rahul and Faf du Plessis would assist skipper Axar Patel in the leadership troika at Delhi Capitals. Mumbai Indians have both the current India skippers, but none of them will lead the team.Hardik Pandya will draw on Rohit Sharma and Suryakumar Yadav’s acumen. The last mentioned will stand in for Pandya in their opener.Decision making could also be a split operation in KKR, who will be out to defend their title without Gautam Gambhir’s Midas Touch. Ajinkya Rahane’s leadership qualities are well documented, but Venkatest Iyer, heir apparent to the throne, could well be tested for that role with a match or two.Even Rajasthan Royals’s Riyan Parag will be put on captaincy perch in their first three matches. Two of those games in his hometown, Guwahati, a clear indications that the franchise is looking at him as a long-term prospect.Talking about Royals, it will be interesting to see how Vaibhav Suryavanshi, who will turn 14 next Thursday, shapes up. Of course the question remains whether the hard-hitting batter from Bihar will get to play a game.Hitting hard is the launchpad on which T20 innings are built and one team capable of it is Sunrisers Hyderabad. The Heinrich Klaasens, Travis Heads, Abhishek Sharmas love the pitches in India and are quite capable of erecting skyscrapers. However, slam-bang batters are spread out evenly, like Jake Fraser-McGurk (DC), Shashank Singh (PBSK), Rishabh Pant (LSG), Devon Con -way (CSK), Sunil Narine (KKR)...the list just goes on.Let’s spare a thought for the bowlers too, who often go into an IPL contest with the head coach telling them, “don’t be afraid of getting hit”.It won’t be easy to hit KKR spinner Chakravarthy though, whose mystical magic has mesmerised many a batter. Rashid Khan, Ravindra Jadeja, Yuzvendra Chahal have repeatedly reminded that spinners play a big role too. However, it will be pacers like Jasprit Bumrah (when he is fit), Mohammed Shami, Mitchell Starc, Jofra Archer and Arshdeep Singh whose opening and closing statements could be the difference between victory and defeat.","Defending champions Kolkata Knight Riders take on Royal Challengers Bengaluru in the opening match at the Eden Gardens. Shreya Ghoshal, Karan Aujla and Disha Patani are among the entertainers to have been lined up for the gala event. Shah Rukh Khan could well shake a leg or two.","https://static.toiimg.com/thumb/msid-119328842,imgsize-34610,width-400,resizemode-4/119328842.jpg"
WATCH: Virat Kohli fan breaches security to touch RCB's star feet after fifty vs KKR,https://timesofindia.indiatimes.com/sports/cricket/ipl/watch-virat-kohli-fan-breaches-security-to-hug-rcb-star-after-fifty-vs-kkr/articleshow/119363773.cms,"A fan, who entered the ground, tries to touch the feet of Royal Challengers Bengaluru's Virat Kohli during the Indian Premier League match against Kolkata Knight Riders at Eden Gardens in Kolkata. (PTI)

Go Beyond The Boundary with our YouTube channel.

RCB in IPL 2025: Royal Challengers Bengaluru chase maiden title

Royal Challengers Bengaluru secured a commanding victory against Kolkata Knight Riders in the IPL 2025 opener, with Virat Kohli leading the chase with an unbeaten 59 off 36 balls. RCB successfully chased down the target of 175 runs in just 16.2 overs.The evening was marked by special moments, including Shah Rukh Khan dancing with Virat Kohli to a song from 'Pathaan' and BCCI honouring Kohli during IPL's 18th anniversary celebrations . During the match, a fan breached security to meet Kohli, touching his feet before security intervened.The match showcased brilliant performances from both teams, with RCB's bowling attack featuring Krunal Pandya's 3-29 and Josh Hazlewood's 2-22 helping restrict KKR to 174/8. The chase was dominated by a strong opening partnership between Phil Salt and Virat Kohli.Salt and Kohli established a commanding 95-run opening stand. Salt's aggressive innings of 56 set the tone early in the powerplay, while Kohli maintained his presence until the end.The chase began with Salt's cover drive off Vaibhav Arora, followed by Kohli's flick through mid-wicket. Salt continued his aggressive approach against Spencer Johnson and Arora, scoring consecutive boundaries.The fourth over proved particularly costly for KKR as Salt attacked Varun Chakaravarthy, scoring 21 runs through a combination of fours and sixes. Kohli then showcased his skills with back-to-back sixes against Johnson.Salt reached his fifty in 25 balls but fell shortly after to Chakaravarthy, caught at short third man. Devdutt Padikkal's dismissal followed, caught at deep mid-wicket off Narine's bowling.Kohli achieved his 56th IPL fifty in 30 balls with a drive off Harshit Rana. Captain Rajat Patidar displayed excellent form, hitting multiple boundaries before being caught at deep mid-wicket off Arora.The match concluded with Liam Livingstone's powerful hitting, including two boundaries, with the final four through mid-on sealing RCB's convincing victory. The win was achieved with 22 balls remaining, marking a strong start to RCB's campaign.",Royal Challengers Bengaluru secured a commanding victory against Kolkata Knight Riders in the IPL 2025 opener. Virat Kohli led the chase with an unbeaten 59 off 36 balls. Krunal Pandya's 3-29 and Josh Hazlewood's 2-22 helped restrict KKR to 174/8.,"https://static.toiimg.com/thumb/msid-119363799,imgsize-199320,width-400,resizemode-4/119363799.jpg"
"Who won yesterday's IPL Match, KKR vs RCB: Yesterday IPL Match Result 2025",https://timesofindia.indiatimes.com/sports/cricket/ipl/who-won-yesterdays-ipl-match-kkr-vs-rcb-yesterday-ipl-match-result-2025/articleshow/119363022.cms,"Royal Challengers Bengaluru (RCB) defeated Kolkata Knight Riders (KKR) by seven wickets in the IPL 2025 opener at Eden Gardens. Fifties from Virat Kohli and Phil Salt set the base for RCB's chase of 175, with Kohli remaining unbeaten. Earlier, Krunal Pandya and Josh Hazlewood's bowling restricted KKR to 174/8, despite a strong showing by Ajinkya Rahane.","Royal Challengers Bengaluru (RCB) defeated Kolkata Knight Riders (KKR) by seven wickets in the IPL 2025 opener at Eden Gardens. Fifties from Virat Kohli and Phil Salt set the base for RCB's chase of 175, with Kohli remaining unbeaten.","https://static.toiimg.com/thumb/msid-119363062,imgsize-273160,width-400,resizemode-4/119363062.jpg"
