Article Title,Article Link,Article Text,Article Summary,Article Image
US tourism sector to lose $64 billion due to Trump administration's trade wars: Report,https://timesofindia.indiatimes.com/world/us/us-tourism-sector-to-lose-64-billion-due-to-trump-administrations-trade-wars-report/articleshow/119362551.cms,"Representative AI image via Lexica

Tourist reactions

Canadian visitors to decline

Recent policy decisions by US President Donald Trump are raising concerns about the future of American tourism, with fears that price increases and a stronger dollar could deter foreign visitors.A report by Tourism Economics, a division of Oxford Economics, estimates that the US tourism sector could lose approximately $64 billion in 2025 due to reduced international and domestic travel.The report forecasts a 5.1 per cent drop in foreign arrivals to the United States in 2025 compared to the previous year, a sharp reversal from earlier projections of an 8.8 per cent increase, according to the report published late late month. Visitor expenditure is also expected to decline by 10.9 per cent ""which totals to an estimated $18B loss in 2025 alone,"" according to the report.Since the report was published ""The situation has deteriorated further"", said Tourism Economics president Adam Sacks, citing growing negative sentiment toward the US He attributed this to the Trump administration's recent actions, including tariffs on Canada, Mexico, China, and potential measures against the European Union, as well as stricter immigration policies.Other significant policy changes include cuts to the US Agency for International Development, civil service redundancies, and controversial strategies regarding the Ukraine and Gaza conflicts. These moves, combined with polarizing rhetoric, are expected to discourage international travel and deter organizations from hosting events in the US, according to Tthe ourism Economics.The World Tourism Forum Institute also warned that strict immigration rules, a strong dollar, and rising global tensions could have long-term impacts on US tourism patterns.A December YouGov survey of 16 European and Asian nations found that 35 percent of respondents were less inclined to visit the United States under Trump's leadership, while 22 percent expressed increased interest.Despite the projected decline, some tourists remain undeterred. In Times Square, AFP interviewed visitors from France, Uzbekistan, and Argentina, who said Trump's policies had not changed their travel plans.Marianela Lopez and Ailen Hadjikovakis, both 33 and from Argentina, chose to enter the U.S. using their European passports. ""We were a bit scared about the situation, but we didn't change our plans,"" Lopez said.The Lagardere family from France also maintained their original travel plans. Laurent Lagardere, 54, remarked, ""The Americans elected this president. It's democracy. If they're not happy, they'll change it in four years.""The National Travel and Tourism Office projected 77.7 million foreign visitors in 2024, reflecting a 17 percent annual increase. However, some key markets are already showing signs of decline.Western European visitors, who accounted for 37 per cent of 2024 arrivals, along with Canadians and Mexicans, are reportedly the most likely to seek alternative destinations, as reported by AFP.Statistics Canada reported a 23 per cent year-on-year decrease in US-returning Canadian travelers in February, marking two consecutive months of decline. NYC Tourism president Julie Coker noted that New York City, which welcomed 12.9 million international visitors in 2024, is experiencing increased Canadian cancellations and reduced online searches.Meanwhile, British and German authorities have issued heightened travel document warnings due to the risk of arrest when visiting the US.The impact is also being felt by airlines. United Airlines and its competitors report a notable reduction in both Canadian-US travel and domestic demand.Industry professionals worry these trends could affect major upcoming sporting events, including the 2025 Ryder Cup, the 2026 FIFA World Cup, and the 2026 Los Angeles Olympics.","A report by Tourism Economics estimates that the US tourism sector could lose approximately $64 billion in 2025. The report forecasts a 5.1 per cent drop in foreign arrivals to the United States in 2025 compared to the previous year. The World Tourism Forum Institute also warned that strict immigration rules, a strong dollar, and rising global tensions could have long-term impacts on US tourism patterns.","https://static.toiimg.com/thumb/msid-119363217,imgsize-1793031,width-400,resizemode-4/119363217.jpg"
Biden appointee former US attorney Jessica Aber found dead at 43,https://timesofindia.indiatimes.com/world/us/biden-appointee-former-us-attorney-jessica-aber-found-dead-at-43/articleshow/119363324.cms,"Jessica Aber , the former US attorney for the eastern district of Virginia , was found dead at her home on Saturday morning. Police are now investigating the sudden death of the high-profile lawyer, who was just 43 years old.According to reports, officers from the Alexandria police department discovered Aber’s body shortly before 9:20 am after receiving a call about an ""unresponsive woman."" The circumstances surrounding her death remain under investigation, and the official cause will be determined by the Virginia medical examiner’s office, as per the New York Post.Aber, a Biden appointee , resigned from her position in January following the transition of power to President Donald Trump. She had a distinguished legal career, serving as an assistant US attorney in the district from 2009 before taking on a role as counsel to the assistant attorney general for the Justice Department’s Criminal Division in 2015. In 2021, she was nominated by President Joe Biden for the top prosecutor role in the Eastern District of Virginia and was confirmed unanimously by the senate.US Attorney Erik Siebert, who currently holds the position, expressed deep sorrow over Aber’s passing in a statement on Saturday afternoon.“We are heartbroken beyond words to learn of the passing of our friend and former colleague, US Attorney Jessica Aber. She was unmatched as a leader, mentor, and prosecutor, and she is simply irreplaceable as a human being,” Siebert said.Investigations into her death are ongoing.","Jessica Aber, the former US attorney for the eastern district of Virginia, was found dead at her home on Saturday morning. The circumstances surrounding her death remain under investigation, and the official cause will be determined by the Virginia medical examiner’s office. US Attorney Erik Siebert, who currently holds the position, expressed deep sorrow over Aber's passing.","https://static.toiimg.com/thumb/msid-119363381,imgsize-1021644,width-400,resizemode-4/119363381.jpg"
At least seven injured in 'massive' Russia drone strike in Ukraine's Kyiv: Officials,https://timesofindia.indiatimes.com/world/europe/at-least-seven-injured-in-massive-russia-drone-attack-in-ukraines-kyiv-officials/articleshow/119362242.cms,"Another two people were injured in the drone attack (@maria_avdv)

Russia carried out an overnight drone attack on Kyiv, resulting in injuries to at least seven people and fires in high-rise apartment buildings and throughout the Ukrainian capital, officials said on Sunday.""A massive enemy drone attack on Kyiv. So far, seven residents of the capital have been injured. One of them has been hospitalised,"" Kyiv mayor Vitali Klitschko said in a post on the Telegram messaging app.""Emergency services were dispatched to several districts where fires were reported,"" Klitschko added.Timur Tkachenko, head of Kyiv's military administration, said falling debris from a destroyed drone sparked fires in high-rise apartment buildings in the historic Podil district and the Dniprovskyi district across the Dnipro River.The scale of the attack was not immediately clear.Another two people were injured and several houses damaged in the region surrounding Kyiv, according to regional governor Mykola Kalashnik.There was no immediate comment from Russia. Both sides deny targeting civilians in the three-year-long war that began with Russian President Vladimir Putin ordering a ""special military operation"" in Ukraine, in February 2022.The United States, led by its new leader Donald Trump, is pushing for a peace deal between Ukraine and Russia, hoping to get them to agree on a partial ceasefire that would halt strikes on energy infrastructure. However, both sides have been reporting continued strikes.Kyiv, its surrounding region and the eastern half of Ukraine were under air raid alerts for more than five hours, starting late on Saturday, according to Ukraine's Air Force maps.","At least seven people injured in drone attack on Kyiv, officials say. Falling debris from a destroyed drone sparked fires in high-rise apartment buildings. Another two people were injured and several houses damaged in the region surrounding Kyiv. Both sides deny targeting civilians in the three-year-long war.","https://static.toiimg.com/thumb/msid-119362927,imgsize-1091812,width-400,resizemode-4/119362927.jpg"
Jeff Bezos and Lauren Sanchez to tie knot in a summer wedding in Venice,https://timesofindia.indiatimes.com/world/us/jeff-bezos-and-lauren-sanchez-to-tie-knot-in-a-summer-wedding-in-venice/articleshow/119362386.cms,"Amazon founder Jeff Bezos and his fiancee, Lauren Sanchez, have officially sent out their wedding invitations, nearly two years after getting engaged. The couple will tie the knot in Venice, Italy, this summer, according to Page Six.The ceremony is set to take place aboard Bezos’ $500 million superyacht, Koru, off the coast of Italy in June.Bezos, 61, and Sanchez, 55, got engaged in May 2023, four years after the billionaire’s divorce from MacKenzie Scott and the same year when Sanchez ended her marriage to Hollywood agent Patrick Whitesell.Following their engagement, the couple celebrated in Positano, Italy, with high-profile guests, including Bill Gates, Ari Emanuel, Leonardo DiCaprio, Tobey Maguire, Andrew Garfield, Queen Rania of Jordan, and Kris Jenner. Sanchez was also spotted earlier this month at the Vanity Fair Oscar Party, wearing a white strapless mermaid gown by Oscar de la Renta—sparking wedding speculation.While there were earlier rumours that the wedding would take place in Colorado last December, Bezos dismissed the claims. Sanchez previously shared with Vogue that she was so overwhelmed when Bezos proposed with a 20-carat, $2.5 million diamond ring that she “blacked out a bit.”Beyond wedding plans, Sanchez is preparing for a space trip with an all-female crew aboard Blue Origin’s New Shepard rocket this spring. She will be joined by Oprah Winfrey, Katy Perry, and Gayle King for the historic mission, the 11th human flight by Bezos’ space company.Bezos and Sanchez, who began dating in 2019, initially kept their relationship low-key until finalising their respective divorces. Bezos and his ex-wife, MacKenzie Scott, share four children, while Sanchez has three children, two with Whitesell and one with former NFL player Tony Gonzalez.","The couple will tie the knot in Venice, Italy, this summer, according to Page Six. The ceremony is set to take place aboard Bezos’ $500 million superyacht, Koru, off the coast of Italy in June. Bezos, 61, and Sanchez, 55, got engaged in May 2023.","https://static.toiimg.com/thumb/msid-119362368,imgsize-1010147,width-400,resizemode-4/119362368.jpg"
New Canadian Prime Minister Carney will run in Ottawa area district as he seeks to join Parliament,https://timesofindia.indiatimes.com/world/rest-of-world/new-canadian-prime-minister-carney-will-run-in-ottawa-area-district-as-he-seeks-to-join-parliament/articleshow/119362140.cms,"(AP photo)

TORONTO: New Canadian Prime Minister Mark Carney will run in an Ottawa area district as he seeks to join Parliament for the first time, two officials familiar with the matter said Saturday, a day before Carney triggers an early general election before a vote on April 28.The election will take place against the backdrop of a trade war and sovereignty threats from U.S. President Donald Trump.The officials, who spoke on condition of anonymity as they were not authorized to speak publicly, said Carney will run to represent the suburban Ottawa area of Nepean.The election campaign for 343 seats or districts in the House of Commons will last 37 days.The party that commands a majority in the House of Commons, either alone or with the support of another party, will form the next government and its leader will be prime minister.Carney replaced Justin Trudeau, who announced his resignation in January, but remained in power until the Liberal Party elected a new leader on March 9 following a leadership race by the governing party.Carney, sworn in as Canada's 24th prime minister on March 14, has said the government in a time of crisis needs a strong and clear mandate.The governing Liberals had appeared poised for a historic election defeat this year until Trump declared a trade war. Trump has repeatedly said that Canada should become the 51st U.S. state and he acknowledged Friday that he has upended Canadian politics.What Trump hasn't said is that the almost daily attacks on Canada's sovereignty have infuriated Canadians. That has led to a surge in Canadian nationalism that has bolstered Liberal poll numbers.The opposition Conservatives hoped to make the election about Trudeau, whose popularity declined as food and housing prices rose and immigration surged. But after decades of bilateral stability, the vote is now is expected to focus on who is best equipped to deal with Trump.Trump put 25% tariffs on Canada's steel and aluminum and is threatening sweeping tariffs on all Canadian products - as well as all of America's trading partners - on April 2.Carney still hasn't had a phone call with Trump and that might not happen now until after the election. Trump mocked Trudeau by calling him governor, but he has not yet mentioned Carney's name.Carney, 60, was the head of the Bank of Canada during the 2008 financial crisis. In 2013, he became the first noncitizen of the United Kingdom to run the Bank of England - helping to manage the impact of Brexit.Pierre Poilievre, the leader of the Conservatives, is Carney's main challenger. The party and Poilievre were heading for a huge victory in Canada's federal election this year until Trump's near-daily trade and annexation threats derailed them.Poilievre, 45, for years the party's go-to attack dog, is a career politician and firebrand populist who says he will put ""Canada first."" He attacks the mainstream media and vows to defund Canada's public broadcaster. His party announced that it won't allow media onboard his campaign buses and planes.",New Canadian Prime Minister Mark Carney will run in an Ottawa area district as he seeks to join Parliament for the first time. The election campaign for 343 seats or districts in the House of Commons will last 37 days. The vote will take place against the backdrop of a trade war and sovereignty threats from U.S. President Donald Trump.,"https://static.toiimg.com/thumb/msid-119362171,imgsize-886069,width-400,resizemode-4/119362171.jpg"
'Friends with black servants': Elon Musk's father Errol defends DOGE head amid DEI hostility accusations,https://timesofindia.indiatimes.com/world/us/friends-with-black-servants-elon-musks-father-errol-defends-doge-head-amid-dei-hostility-accusations/articleshow/119361625.cms,"Errol Musk and Elon Musk

Errol Musk , father of billionaire Elon Musk , recently defended his son against accusations of racism by highlighting the family's relationship with Black domestic staff during apartheid-era South Africa.Speaking to The Washington Post, the 79-year-old claimed his children were uninterested in ""political nonsense"" despite being raised under a system of racial segregation. ""We had several black servants who were their friends,"" Errol Musk told the newspaper, in response to questions about Elon Musk's opposition to workplace diversity and equity programs.The elder Musk portrayed South Africa during his children's upbringing as a ""well-run, law-abiding country with virtually no crime at all.""Errol Musk also acknowledged importing emeralds from an unregistered Zambian mine during the apartheid era, telling The Washington Post that the operation ""helped me and my two boys sustain ourselves during the collapse of Apartheid"" in South Africa. While Elon Musk initially referenced the family's involvement with the mine in a 2014 interview, he later sought to distance himself from it. In a 2021 tweet, he denied the mine's existence, claiming he arrived in Canada in 1989 with only $2,500 Canadian dollars, took on $100,000 in student debt, and independently built his first business using his personal computer.Biographer Walter Isaacson and reporting from Business Insider claimed that Errol Musk did not own the mine but did profit from emerald imports. Errol justified the use of an unregistered mine by saying, ""you would wind up with nothing because the Blacks would take everything from you,"" according to Isaacson.Critics argue that Musk's privileged background shielded him from the realities of apartheid. Rudolph Pienaar, a former schoolmate, described Elon's childhood as a ""bubble of entitlement,"" telling The Washington Post, ""I am not sure if Elon can conceive of systematic discrimination and struggle because that's not his experience. His life now in some ways is how it was under apartheid—rich and entitled with the entire society built to sustain him and his ilk.""Elon Musk's public image has faced further scrutiny since his 2022 acquisition of Twitter (now X), particularly as the platform's policy changes have allowed the spread of extremist content. NBC News alleged that verified accounts on X were able to share pro-Nazi material, including Adolf Hitler's speeches. Musk's right-wing associations have drawn increasing attention, particularly after he was seen making a gesture during Donald Trump 's second-term inauguration that some interpreted as a ""Nazi"" salute—though his supporters argued it was a ""Roman"" salute. Musk dismissed these accusations on X with a post that included wordplay referencing Nazi officials' names.Musk is facing accusations of hostility toward diversity, equity, and inclusion (DEI) initiatives, calling them the ""woke mind virus."" His recent criticism of DEI job listings in the UK's NHS sparked backlash and raised concerns among US educators.At the World Governments Summit in Dubai, Musk urged the US to ""delete entire agencies"" under President Trump to cut spending and reshape government priorities, arguing that merely scaling back would allow them to regrow.Musk’s influence in Washington is growing, particularly within the Department of Government Efficiency, where he has reportedly sidelined career officials and gained access to sensitive federal data. He also supports Trump’s isolationist foreign policy, questioning agencies like USAID.Musk further stirred controversy by linking DEI to artificial intelligence, suggesting AI focused on ""diversity at all costs"" could eliminate men in power. Meanwhile, he announced new projects, including X’s AI chatbot Grok 3 and a ""Dubai Loop"" transportation system.",Errol Musk defended his son against accusations of racism by highlighting the family's relationship with Black domestic staff during apartheid-era South Africa. The 79-year-old also acknowledged importing emeralds from an unregistered Zambian mine during the apartheid era. Critics argue that Musk's privileged background shielded him from the realities of apartheid.,"https://static.toiimg.com/thumb/msid-119361913,imgsize-736269,width-400,resizemode-4/119361913.jpg"
Canadian lawmaker warns people against traveling to US: 'They are kidnapping our residents',https://timesofindia.indiatimes.com/world/us/canadian-lawmaker-warns-people-against-traveling-to-us-they-are-kidnapping-our-residents/articleshow/119317294.cms,"Canadian lawmaker urges citizens to not travel to US.

UK issues new travel advice for citizens going to US

Though Canada has not issued any travel advisory against visiting the United States, Canadian lawmaker Charlie Angus issued a warning against travelling to the US as he claimed that Canadian citizens are being kidnapped by ICE (Immigration and Customs Enforcement) agents. ""We have seen too many stories of citizens being pulled out of airport lines, and being fingerprinted and deported, as if they were criminals. Citizens being kidnapped to illegal detention by ICE…this is not the actions of a Democratic nation,"" New Democratic Party's leader said. While Canada and US have locked horns in a tariff war, the travel warning coincides with the Trump administration's border crackdown.""Canada will never kiss that gangster's ring. We are truth, we are north, we are strong, we are free, we will not bend, and we will not give an inch,"" Angus said in a press conference.Canadian actor Jasmine Mooney who starred in an American Pie video said she was put in chains when she went to renew her visa at the San Ysidro border crossing. She said she was told that she was in the wrong place and that she should have gone to a US consulate. After some to and fro, she was put into ICE custody as she failed to explain to the officers that she was not trying to enter the US illegally. After 12 days of detention, she was finally released and allowed to fly back to Canada.In a massive crackdown on illegal immigrants, the Trump administration has been on an arrest spree. The arrest of two green card holders, Mahmoud Khalil and Badar Khan Suri, created ripples as the administration is planning to deport them. Around 200 members of Venezuela's notorious prison gang Tren de Aragua have been sent to El Salvador, though according to claims some among them are not gang members.The UK government's ""foreign travel advice"" for the US warns travelers to ""comply with all entry, visa and other conditions of entry. The authorities in the U.S. set and enforce entry rules strictly. You may be liable to arrest or detention if you break the rules.""",UK issues new travel advice for citizens going to US. Canada has not issued any travel advisory against visiting the United States. Canadian lawmaker Charlie Angus issued a warning against travelling to the US. He claimed that Canadian citizens are being kidnapped by ICE agents.,"https://static.toiimg.com/thumb/msid-119317315,imgsize-932005,width-400,resizemode-4/119317315.jpg"
"Indonesia Volcanic Activity: Bali flights cancelled as Indonesia’s Lewotobi volcano erupts, spewing ash 8km high",https://timesofindia.indiatimes.com/world/rest-of-world/bali-flights-cancelled-as-indonesias-lewotobi-volcano-erupts-spewing-ash-8km-high/articleshow/119287709.cms,"Bali flights cancelled as Indonesia’s Lewotobi volcano erupts, spewing ash 8km high (Picture credit: AP)

Indonesia’s Lewotobi Laki-Laki volcano erupted violently on Thursday night, sending thick ash clouds more than 8 kilometres (5 miles) into the sky, prompting authorities to raise the alert level to its highest status.The massive eruption, which follows a series of smaller ones since March 13, has also led to flight disruptions, including cancellations by an Australian airline, according to the news agency Reuters.The volcano, located in East Nusa Tenggara province, has been experiencing heightened activity for over a week.Indonesia’s Center for Volcanology and Geological Disaster Mitigation has now imposed strict safety measures, warning residents and tourists to stay at least 7-8 kilometres (4.4-5 miles) away from the volcano’s southwest and northeast sectors, reported Al Jazeera.The volcanic ash has raised concerns over air travel, particularly for flights to and from Bali, a major tourist destination. Volcanic ash can be hazardous to aircraft engines, making flight safety a priority.Indonesia, which sits on the Pacific Ring of Fire , is home to more than 120 active volcanoes.","Lewotobi Laki-Laki volcano in East Nusa Tenggara province has been experiencing heightened activity for over a week. Volcanic ash can be hazardous to aircraft engines, making flight safety a priority. Indonesian authorities have imposed strict safety measures, warning residents and tourists to stay at least 7-8 kilometres away from the volcano.","https://static.toiimg.com/thumb/msid-119288198,imgsize-860272,width-400,resizemode-4/119288198.jpg"
Judge rules Indian post-doc Badar Khan Suri should not be deported pending hearing,https://timesofindia.indiatimes.com/world/us/judge-rules-indian-post-doc-badar-khan-suri-should-not-be-deported-pending-hearing/articleshow/119308958.cms,"Badar Khan Suri

TOI Correspondent from Washington:

A federal judge on Thursday blocked the Trump administration's effort to deport Badar Khan Suri , an Indian post-doc fellow at Georgetown University who has been detained by immigration authorities for alleged pro-Hamas activism, saying he should not removed from the US pending the outcome of the legal challenge seeking his release.Virginia Eastern District Judge Patricia Tolliver Giles did not rule on the merits of the deportation case itself but suggested Suri's habeas corpus needs to be heard first in an order stating he ""shall not be removed from the U.S unless and until the Court issues a contrary order.""Suri's attorney has said his client was abducted from his apartment in Rosslyn, Virginia, a suburb outside Washington DC, and is incarcerated in distant Louisiana, where the Syria-born Palestinian activist Mahmoud Khalil has also been imprisoned at a different facility.Khalil's attorneys too are fighting his deportation, and after accusing authorities of moving their client to a more conservative jurisdiction (Louisiana is a deep red Republican state), they got the case transferred to New Jersey.The detentions follow a Trump crackdown on liberal campuses where student activists have been protesting and criticizing -- both directly and on social media -- U.S foreign policy with regards to the Israel-Palestinian issue.The Trump administration says foreign students, even if they have Green cards and valid visas, are violating terms of their stay with political activism that pose a threat to US national security. Administration officials have warned that many more foreign student activists will be identified and deported.Free speech advocates maintain the administration's actions are a violation of the First Amendment, even with regards to foreign scholars, with some recalling campus anti-Vietnam war protests in the 1960s. “Badar Khan Suri’s detention is a clear violation of his constitutional rights, and he must be released,” Virginia Democrat lawmaker Don Beyer said Thursday, adding, “The ‘justification’ given for these violations of Mr. Suri’s right to due process is another violation of the Constitution: a blatant attack on the First Amendment.""The judicial interventions that are stalling the deportations has enraged President Trump, who says lawyers ""endlessly search"" for "" radical left judges "" to thwart the administration's effort to deport dangerous illegal immigrants, although the crackdown now targets even legal residents.According to a rough count by legal mavens, Out of 679 active federal district court judges, 384 were appointed by Democratic presidents, and 257 appointed by Republican presidents. In the Appeals Court, out of 179 active judges, 88 were appointed by Democratic presidents, and 89 were appointed by Republican presidents. Six of the nine Supreme Court judges have been appointed by Republican Presidents, including three by Trump.But the US President and his acolytes, including Elon Musk, are still unhappy and want Roberts to sign off on moves to impeach liberal justices balking at an imperial presidency they are aiming for, where the President's authority is unquestioned. Roberts, who has suggested the administration can go through with the appeals process rather than target the judges.In a series of posts, Trump raged that ""Unlawful Nationwide Injunctions by Radical Left Judges could very well lead to the destruction of our Country!""""These people are Lunatics, who do not care, even a little bit, about the repercussions from their very dangerous and incorrect Decisions and Rulings,"" Trump fumed, adding that ""No District Court Judge, or any Judge, can assume the duties of the President of the United States. Only Crime and Chaos would result.""Judges are now being openly identified as ""Obama judges"" ""Biden judges"" ""Bush judges"" etc depending on who and in what year they were appointed. Chief Justice John Roberts himself --- a Conservative Republican Bush appointee -- is under attack from MAGA for not consistently ruling in favor of Trump and resisting the move to impeach liberal judges.""If Justice Roberts and the United States Supreme Court do not fix this toxic and unprecedented situation IMMEDIATELY, our Country is in very serious trouble!"" Trump warned in one of his posts on Thursday.",Indian-American Badar Khan Suri has been detained by immigration authorities for alleged pro-Hamas activism. A federal judge on Thursday blocked the Trump administration's effort to deport Suri. The detentions follow a Trump crackdown on liberal campuses where student activists have been protesting and criticizing U.S foreign policy.,"https://static.toiimg.com/thumb/msid-119308974,imgsize-1311222,width-400,resizemode-4/119308974.jpg"
Trump Education Department Elimination: Trump signs order to 'eliminate' US education department: What it means for students,https://timesofindia.indiatimes.com/world/us/trump-signs-order-to-eliminate-us-education-department-what-it-means-for-students/articleshow/119283727.cms,"File photo: US President Donald Trump (Picture credit: AP)

Q: What exactly did Trump’s executive order do?

Q: Why does Trump want to eliminate the department of education?

Q: Can a president actually shut down the department of education?



Q: What parts of the department of education will remain?

Q: Which students are most at risk from the department’s downsizing?

Q: How much of US education funding comes from the federal government?

Q: Is it true that US students are falling behind globally?

Q: What impact has the education department had on student performance?

Q: Is the public in favor of closing the department?

Q: Who supports Trump’s move?

Q: What’s next?

Trump, surrounded by schoolchildren seated at desks arranged in the White House's East Room, smiled as he held up the signed order during a special ceremony.Since its founding in 1979, the department of education (DoE) has played a pivotal role in administering student loans, supporting students with disabilities and low-income families, and enforcing civil rights in schools. Trump’s action, framed as a bid to return power to the states, reflects long-standing conservative frustration with what they view as federal overreach in education.While Trump cannot legally abolish the department without Congressional approval, the executive order signals his administration’s intent to cripple it through staff reductions and budget cuts. Backed by tech tycoon Elon Musk’s department for government efficiency (DOGE), the effort has already seen nearly half of the DoE’s workforce laid off. The move has thrilled conservative groups like Moms for Liberty but sparked outrage among educators, civil rights advocates, and Democratic lawmakers who warn that it could undermine protections and funding for millions of vulnerable students.Here is all you need to knowA: The order directs education secretary Linda McMahon to “take all necessary steps to facilitate the closure of the department of education and return education authority to the states.” While it does not immediately abolish the department—Congress must approve that—it does instruct the administration to scale back operations and staffing.A: Trump argued, “We're going to return education back to the states where it belongs,” calling the federal department unnecessary. He also cited falling test scores and high spending as reasons, saying, “It’s doing us no good.” He believes states can run education systems more efficiently, comparing his goal to countries like “Norway, Denmark, [and] Finland.”A: No. Abolishing a federal agency like the DoE requires an act of Congress. Trump currently lacks the necessary majority to pass such a law. However, he can significantly weaken the department through budget cuts, workforce reductions, and administrative changes.According to White House press Secretary Karoline Leavitt, “The department of education will be much smaller than it is today.” Some “critical functions”—like Pell Grants, student loans, and funding for students with disabilities—are expected to remain. Trump himself said these “useful functions… will be fully preserved.”A: Low-income students, students with disabilities, and students in rural or underfunded districts stand to lose the most. Programs like Title I and the Individuals with Disabilities Education Act depend on federal oversight and funding. As Katie Paris of Red Wine and Blue said, “There’s a real opportunity people are going to learn how essential the education department is to access public schools if it’s gone.”A: About 13% of funding for K-12 schools comes from the federal government; the rest is state and locally funded. But that 13% is vital, especially in states that rely heavily on federal dollars—like Mississippi, South Dakota, Montana, and Arkansas.A: Not entirely. Trump claims US students rank “at the bottom of the list,” but data shows otherwise. According to the Programme for International Student Assessment (PISA), US students are “above average in reading and close to average in math.” Nat Malkus of the conservative American Enterprise Institute added, “The US ranks in the middle of the pack on most international assessments.”A: The department’s critics claim it hasn’t closed achievement gaps. But national data shows that since its founding, fourth-grade math scores have increased by 24 points, and reading scores have held steady. Fernando Reimers of Harvard noted, “In the US only 4 percent of total federal spending is devoted to education,” far less than in many peer countries.A: No. A Reuters/Ipsos poll found that 65% of Americans oppose shuttering the department, with only 30% in support. Democratic pollster John Anzalone argued, “Education is generally popular with voters,” suggesting this could backfire on Trump politically.A: Conservative advocacy groups like Moms for Liberty and the Heritage Foundation strongly back the decision. “It’s a beautiful day to dismantle the Department of Education,” the Heritage Foundation said on X. Moms for Liberty co-founder Tina Descovich added, “I'm very happy about that,” in reference to department cuts.A: Several lawsuits have already been filed. Senator Patty Murray said, “Donald Trump knows perfectly well he can’t abolish the department of education without Congress.” A previous attempt to dismantle the US Agency for International Development was blocked by a federal judge for likely violating the Constitution.While the executive order sets the process in motion, full closure of the department will face Congressional scrutiny, potential legal battles, and continued public debate. As Margaret Spellings, George W Bush’s education secretary, put it: “Donald Trump has called the bluff.” Whether that bluff results in full elimination remains to be seen.(With inputs from agencies)","US President Donald Trump signed an executive order to shut down the department of education. The department has played a pivotal role in administering student loans, supporting students with disabilities and low-income families. The move has thrilled conservative groups like Moms for Liberty but sparked outrage among educators, civil rights advocates, and Democratic lawmakers.","https://static.toiimg.com/thumb/msid-119283760,imgsize-996767,width-400,resizemode-4/119283760.jpg"
