Word,Frequency
10,10206
100,3131
1000,1384
102,269
103,278
104,351
106,219
109,195
10th,1252
11,5441
111,351
112,247
115,159
118,157
119,260
11th,1069
12,5447
120,614
122,228
124,145
127,135
128,170
129,85
12th,1283
13,3805
133,88
134,151
137,153
139,77
13th,1097
14,4817
140,347
141,145
142,83
143,105
144,188
145,201
146,146
147,161
148,107
14th,1116
15,4644
150,652
151,130
152,142
155,130
156,186
158,107
15th,1114
16,4374
160,241
161,158
163,73
164,95
165,117
166,133
169,128
16th,760
17,3239
170,191
175,144
176,147
177,78
178,66
17th,1031
18,3977
183rd,2
185,65
186,50
189,55
18th,1292
19,3015
190,158
191,128
194,53
1958,29
196,74
1960,135
1965,29
197,99
1977,73
1980,162
1982,104
1996,360
1997,251
19th,716
1st,540
20,5439
200,903
2007,1076
2008,1107
2010,870
2011,1216
2012,1354
2013,1368
2014,1370
2015,1064
2016,1889
2017,2027
2018,1816
2019,2342
2020,2192
2021,3247
2022,5414
2023,6300
2024,23222
2025,15051
2028,804
204,128
205,157
208,105
20th,468
21,2549
210,100
211,80
215,52
216,36
21st,438
22,3186
226,41
229,58
22nd,441
23,2448
232,34
23rd,549
24,3021
246,44
249,52
24th,586
25,3182
255,70
25th,577
26,2336
261,72
264,111
26th,378
27,3267
27th,307
28,2176
284,22
285,56
28th,385
29,1905
29th,295
2nd,640
30,10170
300,1398
30th,356
31,1867
314,41
319,26
31st,248
32,1697
33,1146
33rd,192
34,1125
34th,336
35,1573
36,1749
3600,2
37,1411
379,31
37th,119
38,1110
38th,170
39,1096
390,9
39th,122
3rd,471
3w,2
40,2276
41,2187
41st,203
42,1242
424,8
43,838
44,888
44th,143
45,1103
46,941
47,931
47th,124
48,841
49,661
490,1
4996,1
49th,146
4th,440
50,3031
500,1373
5000,20
50kg,468
51,848
5121,1
5162,1
51st,182
52,968
53,660
53rd,191
54,753
54th,88
55,821
5529,1
56,647
57,675
57kg,311
58,661
58th,90
59,658
5th,422
5w,2
60,1330
60th,87
61,507
62,505
63,409
63rd,56
64,698
64th,80
65,1146
65th,55
66,718
67,687
68,806
69,727
692,8
69kg,86
6th,301
70,1032
7000,3
71,669
71st,65
72,746
73,520
74,633
75,2971
750,1186
75kg,203
76,540
76th,29
77,467
77th,88
78,358
79,306
7th,356
81,342
82,389
83,389
84,355
87,266
88th,155
89,402
8th,434
90,838
91,298
93,253
96,238
99,271
9th,345
aakarshi,444
aamir,63
aaron,2325
ab,354
abdul,364
aberg,168
abhinav,354
abhishek,2331
ability,6101
abishek,119
ablaze,33
able,5238
absence,3560
absorb,73
abstained,6
abuzz,113
ac,332
academy,2456
acc,128
accelerate,131
accept,764
accepted,657
acche,25
accolade,544
accomplishment,571
according,3982
accordingly,235
accounted,151
accumulating,319
accused,889
ace,1294
achieve,2063
achieved,3362
achievement,4563
achieving,776
acknowledged,2794
acknowledging,911
acosto,2
acquired,478
acquiring,374
act,957
action,5382
actually,2185
ad,458
adapt,772
add,3072
added,9104
addedkohli,1
adding,3210
additional,1186
additionally,1427
address,1537
adductor,31
adeptness,8
adil,305
adjei,5
admiration,942
admitted,1974
adopted,273
advance,1390
advanced,2085
advancing,623
advantage,3279
advantageous,74
advent,33
advertising,71
advice,790
advised,398
advisory,112
aerial,244
afc,1618
affair,1070
affect,676
affiliated,164
afghanistan,3027
afp,1817
africa,6267
african,1113
afternoon,812
agada,2
agarwal,256
aged,446
agenda,202
aggression,499
aggressive,2745
agility,312
ago,3548
agreed,819
ahead,8813
ahmad,435
ahmed,1683
ahmedabad,1145
ahmedtravis,12
aiden,499
aim,3139
aimed,657
aiming,1527
airee,24
ajay,447
ajinkya,654
akane,221
akash,1500
akeal,97
akshay,566
al,868
albiach,25
alcaraz,2793
alert,259
alex,2177
alexander,1017
alexei,112
ali,2202
alike,802
alisher,1
alive,925
allegation,965
allegri,8
allianz,90
allowed,1968
allowing,1554
allows,493
allrounder,1310
allure,74
almora,111
alongside,3683
alonso,1023
alternating,46
alternative,284
alzarri,186
amallia,16
amassed,909
amazed,69
ambassador,259
ambati,120
amends,231
amerat,20
american,4469
amid,1492
amidst,804
amit,719
amplifying,31
amritraj,311
amusement,68
amusing,94
analysed,61
analysing,35
ancelotti,510
andravindra,1
andre,1127
andrey,315
ange,108
angeles,4102
angkrish,282
angrily,33
angrkrish,2
ani,810
ankita,160
ankle,1585
anmol,889
anmolpreet,87
annals,174
announced,5159
announcement,1777
announcing,693
anonymity,59
anrich,314
anshul,252
answer,1181
answering,129
anthony,1718
anticipate,302
anticipated,2029
anticipates,225
anticipation,620
antoine,93
antonio,797
anuj,228
anukul,130
anupama,511
anushka,186
anymore,515
ap,3501
apart,1273
apiece,91
apna,35
apollo,39
apparent,292
appearance,6223
appeared,2352
appears,986
applause,221
applying,180
appointed,1006
appreciate,420
approach,4522
approached,615
apr,1264
april,2041
aravelly,29
archer,761
architect,168
ardent,42
area,2319
arena,2293
arjun,988
arm,949
arnaldi,58
arora,377
arrival,995
arrive,192
arrived,1188
arrowhead,392
arsenal,1405
arshad,317
arshdeep,1862
arun,553
arya,182
arévalo,3
ascend,21
ascended,178
ashmita,333
ashutosh,340
ashwini,815
asia,2694
asian,4528
aside,477
ask,1243
asked,4405
asking,822
asks,139
aspect,1172
aspiration,737
assamese,5
asserted,506
asserting,278
assessment,507
asset,690
assist,1910
assistance,533
association,4065
assumed,286
assumes,60
assured,622
assuring,42
aston,470
astonishing,415
atal,395
ate,32
athens,123
athlete,5920
athletic,941
atkinson,304
atletico,936
atmosphere,904
atop,340
atp,2527
attack,4415
attacking,1547
attempt,2377
attempted,906
attempting,604
attendance,520
attention,3104
attraction,246
attribute,186
attributed,513
auction,5712
aug,133
august,2517
augusta,433
aur,294
aurélien,3
australia,16764
australian,6732
authority,1340
available,2314
avanish,60
avenged,105
avenging,80
average,3742
averting,18
avesh,587
avg,41
avoid,954
awaited,235
award,3709
awarded,891
awarding,73
awareness,371
away,7542
awesome,297
axar,2248
ayush,661
azerbaijan,266
azmatullah,296
ba,83
baad,68
bac,73
bach,127
backed,571
backup,540
backward,215
bad,3326
badminton,12111
badoni,373
bag,855
bagan,1117
baggage,71
bagged,510
bahadur,106
bai,1467
bail,200
bairstow,334
balance,1750
balanced,655
balancing,319
ball,22646
balyan,18
bandwagon,58
bangalore,299
bangar,205
bangkok,257
bangladeshi,114
bank,1597
banking,157
bansod,1488
bar,536
barboza,66
barca,117
barcelona,2094
barkley,929
barracuda,55
barreto,1
barring,166
barry,86
barsapara,100
baruah,272
base,1530
based,1401
bash,283
bat,6098
baton,65
batsman,3486
batter,8232
batting,10465
battle,3638
battled,437
bavarian,15
bayer,194
bayern,763
bbf,2
bearing,105
beat,4251
beaten,749
beating,1371
beautifully,277
beauty,367
bedroom,146
began,4535
begging,27
begin,3219
beginning,2137
begun,458
behalf,156
behavior,426
behaviour,264
behrendorff,45
beijing,417
belief,3758
believe,2844
believed,964
beloved,460
belt,961
ben,1476
benefit,924
beneston,1
bengal,3378
bengaluru,5118
ber,18
bernabeu,134
berth,934
best,15419
better,7528
bewilderment,46
bhagath,11
bhaji,7
bhandage,167
bharat,718
bhatia,887
bhogle,38
bhosale,37
bhui,80
bhumij,1
bhupinder,2
bhuvneshwar,639
biaka,1
bias,110
bicep,19
bicycle,24
bid,1762
bidding,585
big,10304
bigger,1334
biggest,3851
bigwig,8
bihari,305
biju,14
billie,252
billion,1067
billionaire,485
bindra,159
bingjiao,106
birdie,2244
birthday,1694
bishnoi,631
biswas,21
bit,5183
bitter,285
black,1658
blah,31
blanked,80
blas,58
bleed,39
blend,592
blood,1468
blow,1245
blown,142
boast,970
boasting,363
boby,75
bodes,31
body,3552
boe,568
bogey,1634
bogeyed,174
boiled,70
bollywood,416
bolster,515
bolstered,372
booed,354
booing,190
book,1375
boost,1237
boot,441
bopanna,729
bore,130
borgohain,696
borussia,238
bother,185
bought,937
boult,579
bounce,1446
bounced,575
bouncer,181
bouncing,177
bound,365
boundary,6788
bout,1893
bowl,10643
bowled,3500
bowler,10220
bowling,8629
box,1582
boxer,2900
boxing,7051
boy,3555
brace,408
bracing,43
brain,328
brand,2506
brar,355
bravo,109
breach,442
break,7156
breakfast,115
breaking,2169
breakthrough,782
breathtaking,215
breezed,34
bremen,18
brevis,202
brian,709
brief,1556
briefly,653
brigade,100
bright,605
brilliance,891
brilliant,1488
brilliantly,320
bring,3371
bringing,1852
brings,1293
brink,241
brisbane,1247
broke,2621
bronze,6151
brook,992
brought,3532
brunswick,24
brunt,76
bryson,487
buckle,45
build,2006
building,1359
