Word,Frequency
0230,7
0400,20
0430,3
10,7025
100,3460
100bn,4
1027,9
108,99
11,2762
110,273
111,119
112,82
1122,49
11km,1
12,3102
120,583
122,52
13,2521
133,116
14,2607
15,3907
155,139
159,42
16,2277
166,15
168,42
16th,126
17,2041
170,321
18,2788
1800s,20
1864,8
187,30
19,1724
1930s,44
1961,137
1978,57
1979,336
1980s,381
1982,114
1990,172
1991,244
1994,301
1996,292
1997,438
1999,442
19th,202
20,4932
200,1764
2000,373
2002,256
2006,684
2008,689
2011,959
2013,850
2014,1105
2015,1269
2016,2018
2017,1486
2018,2222
2019,2429
2020,3858
2021,3424
2022,5789
2023,6593
2024,7210
2025,2613
2027,233
2050,70
21,1749
2130,4
21st,196
22,1476
23,1455
24,2398
24th,69
25,2800
26,1600
27,1467
28,1433
29,1004
30,4006
300,1200
31,981
32,710
326,36
33,900
34,759
35,971
350,213
36,631
363,12
365,40
37,627
370,156
373,4
38,596
40,2439
400th,1
403,22
42,737
425,46
43,643
439,4
44,606
45,1054
469,10
47,593
48,663
49,488
50,3073
500,1060
51,418
52,447
52nd,5
55,442
550,60
56,365
57,323
58,352
59,349
60,2217
600,605
61,317
620,33
645,16
65,561
66,203
68,191
6am,156
70,1358
700,330
70th,17
71,356
72,377
73,193
75,751
77,300
770,1
789,6
7th,185
81,287
87,103
875,3
90,1265
900,207
950,13
99,200
aap,9
abc,947
abdomen,60
abdominal,113
abducted,780
abducting,119
abduction,439
abductor,14
abdul,363
abdulla,31
abdullah,431
able,2904
aboard,699
abortion,927
abroad,1215
abrogated,4
abruptly,325
absence,920
absolute,500
absolutely,863
abu,1253
academic,929
academy,594
accelerate,203
accelerated,208
accept,1349
acceptable,307
accepted,970
access,3899
accident,1653
accommodating,48
accompanied,941
accomplice,167
according,23244
account,3809
accountability,1350
accountant,64
accounted,222
accounting,250
accuracy,155
accurate,227
accused,7624
accusing,1915
achieve,1249
achieved,803
achievement,822
achieving,609
acknowledge,410
acknowledged,2299
acknowledging,703
acknowledgment,101
act,5926
acted,510
acting,1282
action,10947
activated,209
activating,36
active,1600
actively,1008
activist,3161
activity,5822
acute,264
adaptation,124
adapted,121
adaptive,18
adapts,36
adb,38
add,1060
added,8654
adding,5820
addition,1373
additional,3631
additionally,1306
address,5364
addressed,1842
addressing,2080
aden,244
adequate,265
adhering,144
adidas,24
adjacent,243
adjustment,318
administering,99
administration,10110
admiral,226
admitted,1633
adopting,180
adrienne,13
adult,1257
advance,1582
advanced,2111
advancement,636
advancing,717
advantage,1088
adversary,584
advertising,283
advice,784
advised,916
adviser,2819
advisory,793
advocate,1502
aerial,1172
aerospace,379
affair,4170
affect,1020
affected,2975
affiliation,151
affirmed,354
afford,325
affordable,344
afghan,2895
afghanistan,4894
afp,4320
afraid,429
africa,2450
african,1441
aftermath,871
afternoon,1134
age,2946
aged,1157
agency,14419
agenda,1497
agent,1878
aggression,1107
aggressive,940
aggressively,227
agile,25
ago,3444
agreed,2960
agreement,6820
agriculture,680
ahead,3824
ahl,1
ahmadiyya,84
ahmed,1053
ahouthi,1
ai,3429
aid,5783
aide,1165
aiding,258
aim,3131
aimed,3565
aiming,1073
air,9605
airborne,121
aircraft,5140
aired,328
airline,3330
airport,6178
airspace,670
airstrike,978
airstrikes,1461
akhundzada,69
akin,136
akira,10
al,1772
alarm,761
alarming,523
alarmingly,55
